astyanax_mexicanus ENSAMXG00000029861
ictalurus_punctatus ENSIPUG00000009997
oryzias_latipes ENSORLG00020010149
oryzias_latipes_asm223469v1 ENSORLG00015008289
acanthochromis_polyacanthus ENSAPOG00000023131
acanthochromis_polyacanthus ENSAPOG00000001340
poecilia_latipinna ENSPLAG00000009621
poecilia_mexicana ENSPMEG00000023355
poecilia_reticulata ENSPREG00000016209
xiphophorus_maculatus ENSXMAG00000021128
gambusia_affinis ENSGAFG00000018315
oryzias_melastigma ENSOMEG00000011615
monopterus_albus ENSMALG00000020786
scleropages_formosus ENSSFOG00015014682
lepidothrix_coronata ENSLCOG00000014638
nothoprocta_perdicaria ENSNPEG00000000409
