pan_paniscus ENSPPAG00000024891
pan_troglodytes ENSPTRG00000030611
homo_sapiens ENSG00000204006
gorilla_gorilla ENSGGOG00000015902
pongo_abelii ENSPPYG00000001364
nomascus_leucogenys ENSNLEG00000015903
colobus_angolensis_palliatus ENSCANG00000043459
piliocolobus_tephrosceles ENSPTEG00000027779
rhinopithecus_roxellana ENSRROG00000035118
rhinopithecus_bieti ENSRBIG00000034389
cercocebus_atys ENSCATG00000035564
mandrillus_leucophaeus ENSMLEG00000042197
macaca_mulatta ENSMMUG00000006651
macaca_nemestrina ENSMNEG00000034636
macaca_fascicularis ENSMFAG00000000049
theropithecus_gelada ENSTGEG00000003430
papio_anubis ENSPANG00000005045
chlorocebus_sabaeus ENSCSAG00000001262
cebus_capucinus ENSCCAG00000035941
saimiri_boliviensis_boliviensis ENSSBOG00000034584
callithrix_jacchus ENSCJAG00000021565
aotus_nancymaae ENSANAG00000033385
carlito_syrichta ENSTSYG00000025431
propithecus_coquereli ENSPCOG00000025481
microcebus_murinus ENSMICG00000004061
prolemur_simus ENSPSMG00000003162
ictidomys_tridecemlineatus ENSSTOG00000028403
urocitellus_parryii ENSUPAG00010022379
marmota_marmota_marmota ENSMMMG00000017543
spermophilus_dauricus ENSSDAG00000023079
castor_canadensis ENSCCNG00000006432
peromyscus_maniculatus_bairdii ENSPEMG00000020496
microtus_ochrogaster ENSMOCG00000014783
cricetulus_griseus_chok1gshd ENSCGRG00001016306
cricetulus_griseus_crigri ENSCGRG00000009169
cricetulus_griseus_crigri-picr ENSCGRG00015022538
mesocricetus_auratus ENSMAUG00000018143
mus_musculus ENSMUSG00000060491
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027254
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026285
mus_spicilegus ENSMSIG00000010887
mus_pahari MGP_PahariEiJ_G0028618
rattus_norvegicus ENSRNOG00000009138
meriones_unguiculatus ENSMUGG00000012822
chinchilla_lanigera ENSCLAG00000007634
oryctolagus_cuniculus ENSOCUG00000027363
ochotona_princeps ENSOPRG00000005606
tupaia_belangeri ENSTBEG00000008026
pteropus_vampyrus ENSPVAG00000010343
myotis_lucifugus ENSMLUG00000023716
erinaceus_europaeus ENSEEUG00000010576
sorex_araneus ENSSARG00000008505
ovis_aries ENSOARG00000004439
capra_hircus ENSCHIG00000024707
bison_bison_bison ENSBBBG00000024510
bos_mutus ENSBMUG00000015719
bos_taurus ENSBTAG00000009674
tursiops_truncatus ENSTTRG00000013798
sus_scrofa ENSSSCG00000031188
vicugna_pacos ENSVPAG00000002483
ursus_maritimus ENSUMAG00000023093
ursus_americanus ENSUAMG00000027018
ailuropoda_melanoleuca ENSAMEG00000017481
canis_lupus_dingo ENSCAFG00020013497
canis_lupus_familiaris ENSCAFG00000030850
vulpes_vulpes ENSVVUG00000005980
neovison_vison ENSNVIG00000018467
panthera_tigris_altaica ENSPTIG00000012429
panthera_pardus ENSPPRG00000006868
felis_catus ENSFCAG00000043741
equus_caballus ENSECAG00000025041
equus_asinus_asinus ENSEASG00005010734
choloepus_hoffmanni ENSCHOG00000002106
dasypus_novemcinctus ENSDNOG00000035981
loxodonta_africana ENSLAFG00000030448
procavia_capensis ENSPCAG00000003674
echinops_telfairi ENSETEG00000001566
