peromyscus_maniculatus_bairdii ENSPEMG00000023531
microtus_ochrogaster ENSMOCG00000016815
cricetulus_griseus_chok1gshd ENSCGRG00001015409
cricetulus_griseus_crigri ENSCGRG00000001231
mesocricetus_auratus ENSMAUG00000002010
mus_spicilegus ENSMSIG00000025331
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031717
mus_musculus ENSMUSG00000040139
meriones_unguiculatus ENSMUGG00000026684
urocitellus_parryii ENSUPAG00010019889
nannospalax_galili ENSNGAG00000005888
caenorhabditis_elegans_strain_n2 WBGene00007609
