prolemur_simus ENSPSMG00000007862
propithecus_coquereli ENSPCOG00000024610
macaca_mulatta ENSMMUG00000046926
theropithecus_gelada ENSTGEG00000026468
homo_sapiens ENSG00000239389
mus_musculus ENSMUSG00000103310
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022154
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023064
mus_spicilegus ENSMSIG00000013559
mus_pahari MGP_PahariEiJ_G0018889
nannospalax_galili ENSNGAG00000019551
heterocephalus_glaber_male ENSHGLG00100000551
castor_canadensis ENSCCNG00000009795
bos_taurus ENSBTAG00000030227
sus_scrofa ENSSSCG00000028030
ursus_maritimus ENSUMAG00000012808
neovison_vison ENSNVIG00000012952
canis_lupus_dingo ENSCAFG00020021274
dasypus_novemcinctus ENSDNOG00000044114
