haplochromis_burtoni ENSHBUG00000012062
pundamilia_nyererei ENSPNYG00000002386
neolamprologus_brichardi ENSNBRG00000004597
oreochromis_niloticus ENSONIG00000007882
amphilophus_citrinellus ENSACIG00000017031
amphiprion_percula ENSAPEG00000001315
amphiprion_ocellaris ENSAOCG00000012073
acanthochromis_polyacanthus ENSAPOG00000001387
mastacembelus_armatus ENSMAMG00000000466
monopterus_albus ENSMALG00000010884
anabas_testudineus ENSATEG00000010012
scophthalmus_maximus ENSSMAG00000014103
scophthalmus_maximus ENSSMAG00000014085
cynoglossus_semilaevis ENSCSEG00000012418
seriola_lalandi_dorsalis ENSSLDG00000007945
mola_mola ENSMMOG00000003977
periophthalmus_magnuspinnatus ENSPMGG00000006744
esox_lucius ENSELUG00000024399
esox_lucius ENSELUG00000024373
astyanax_mexicanus ENSAMXG00000037363
pygocentrus_nattereri ENSPNAG00000017569
ictalurus_punctatus ENSIPUG00000014452
danio_rerio ENSDARG00000089995
paramormyrops_kingsleyae ENSPKIG00000020058
