tupaia_belangeri ENSTBEG00000007086
erinaceus_europaeus ENSEEUG00000013990
mus_musculus ENSMUSG00000004885
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025148
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026089
mus_pahari MGP_PahariEiJ_G0026591
rattus_norvegicus ENSRNOG00000022101
meriones_unguiculatus ENSMUGG00000024410
peromyscus_maniculatus_bairdii ENSPEMG00000005913
microtus_ochrogaster ENSMOCG00000017322
cricetulus_griseus_chok1gshd ENSCGRG00001018016
cricetulus_griseus_crigri ENSCGRG00000015940
mesocricetus_auratus ENSMAUG00000020088
nannospalax_galili ENSNGAG00000001105
otolemur_garnettii ENSOGAG00000016816
saimiri_boliviensis_boliviensis ENSSBOG00000035581
cebus_capucinus ENSCCAG00000027138
aotus_nancymaae ENSANAG00000025012
colobus_angolensis_palliatus ENSCANG00000031747
piliocolobus_tephrosceles ENSPTEG00000013397
rhinopithecus_roxellana ENSRROG00000031822
rhinopithecus_bieti ENSRBIG00000037078
cercocebus_atys ENSCATG00000033604
mandrillus_leucophaeus ENSMLEG00000030193
macaca_nemestrina ENSMNEG00000045283
macaca_fascicularis ENSMFAG00000036656
macaca_mulatta ENSMMUG00000002295
chlorocebus_sabaeus ENSCSAG00000002176
theropithecus_gelada ENSTGEG00000002006
papio_anubis ENSPANG00000017885
pan_paniscus ENSPPAG00000027292
pan_troglodytes ENSPTRG00000001470
homo_sapiens ENSG00000143320
gorilla_gorilla ENSGGOG00000002490
pongo_abelii ENSPPYG00000000707
nomascus_leucogenys ENSNLEG00000012736
microcebus_murinus ENSMICG00000008925
propithecus_coquereli ENSPCOG00000020761
prolemur_simus ENSPSMG00000010498
myotis_lucifugus ENSMLUG00000010366
chinchilla_lanigera ENSCLAG00000003258
fukomys_damarensis ENSFDAG00000020878
octodon_degus ENSODEG00000009231
heterocephalus_glaber_male ENSHGLG00100011009
heterocephalus_glaber_female ENSHGLG00000019556
cavia_porcellus ENSCPOG00000000293
castor_canadensis ENSCCNG00000024060
dipodomys_ordii ENSDORG00000013736
loxodonta_africana ENSLAFG00000027871
rattus_norvegicus ENSRNOG00000048421
mus_spicilegus ENSMSIG00000031674
cavia_aperea ENSCAPG00000014015
callithrix_jacchus ENSCJAG00000006115
echinops_telfairi ENSETEG00000001324
urocitellus_parryii ENSUPAG00010004586
ictidomys_tridecemlineatus ENSSTOG00000014984
marmota_marmota_marmota ENSMMMG00000013422
jaculus_jaculus ENSJJAG00000014185
carlito_syrichta ENSTSYG00000002110
sus_scrofa ENSSSCG00000006472
vicugna_pacos ENSVPAG00000005002
tursiops_truncatus ENSTTRG00000014508
ovis_aries ENSOARG00000006212
capra_hircus ENSCHIG00000009097
bos_mutus ENSBMUG00000015544
bison_bison_bison ENSBBBG00000016445
neovison_vison ENSNVIG00000021041
mustela_putorius_furo ENSMPUG00000004070
ursus_maritimus ENSUMAG00000017769
ursus_americanus ENSUAMG00000013417
ailuropoda_melanoleuca ENSAMEG00000014901
canis_lupus_familiaris ENSCAFG00000016755
canis_lupus_dingo ENSCAFG00020005213
vulpes_vulpes ENSVVUG00000006061
