pelodiscus_sinensis ENSPSIG00000002744
chrysemys_picta_bellii ENSCPBG00000019976
crocodylus_porosus ENSCPRG00005001629
pogona_vitticeps ENSPVIG00000016023
anolis_carolinensis ENSACAG00000028784
salvator_merianae ENSSMRG00000011949
equus_asinus_asinus ENSEASG00005000382
equus_caballus ENSECAG00000037580
myotis_lucifugus ENSMLUG00000010932
oryctolagus_cuniculus ENSOCUG00000007390
bos_taurus ENSBTAG00000054993
bos_mutus ENSBMUG00000022878
bison_bison_bison ENSBBBG00000024301
ovis_aries ENSOARG00000019185
capra_hircus ENSCHIG00000013799
sus_scrofa ENSSSCG00000000174
sorex_araneus ENSSARG00000005462
ursus_americanus ENSUAMG00000027120
ursus_maritimus ENSUMAG00000006472
ailuropoda_melanoleuca ENSAMEG00000007279
neovison_vison ENSNVIG00000007724
canis_lupus_dingo ENSCAFG00020013356
canis_lupus_familiaris ENSCAFG00000008910
vulpes_vulpes ENSVVUG00000019619
panthera_pardus ENSPPRG00000002478
panthera_tigris_altaica ENSPTIG00000007788
felis_catus ENSFCAG00000022110
pan_troglodytes ENSPTRG00000041051
pan_paniscus ENSPPAG00000036148
homo_sapiens ENSG00000257987
gorilla_gorilla ENSGGOG00000041865
nomascus_leucogenys ENSNLEG00000034433
theropithecus_gelada ENSTGEG00000000329
papio_anubis ENSPANG00000016674
chlorocebus_sabaeus ENSCSAG00000006250
mandrillus_leucophaeus ENSMLEG00000031575
cercocebus_atys ENSCATG00000026325
macaca_fascicularis ENSMFAG00000041881
macaca_nemestrina ENSMNEG00000028091
rhinopithecus_bieti ENSRBIG00000040348
rhinopithecus_roxellana ENSRROG00000040354
piliocolobus_tephrosceles ENSPTEG00000011160
colobus_angolensis_palliatus ENSCANG00000035606
saimiri_boliviensis_boliviensis ENSSBOG00000031888
cebus_capucinus ENSCCAG00000032188
callithrix_jacchus ENSCJAG00000041983
aotus_nancymaae ENSANAG00000024703
carlito_syrichta ENSTSYG00000034408
prolemur_simus ENSPSMG00000006230
propithecus_coquereli ENSPCOG00000019022
microcebus_murinus ENSMICG00000046126
cricetulus_griseus_crigri-picr ENSCGRG00015005548
cricetulus_griseus_chok1gshd ENSCGRG00001002641
cricetulus_griseus_crigri ENSCGRG00000006306
mesocricetus_auratus ENSMAUG00000010854
microtus_ochrogaster ENSMOCG00000022816
peromyscus_maniculatus_bairdii ENSPEMG00000000495
mus_musculus ENSMUSG00000022993
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021134
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020237
mus_pahari MGP_PahariEiJ_G0020240
rattus_norvegicus ENSRNOG00000057264
meriones_unguiculatus ENSMUGG00000026550
meriones_unguiculatus ENSMUGG00000026564
nannospalax_galili ENSNGAG00000008742
jaculus_jaculus ENSJJAG00000014955
castor_canadensis ENSCCNG00000028256
dipodomys_ordii ENSDORG00000023756
heterocephalus_glaber_female ENSHGLG00000007195
heterocephalus_glaber_male ENSHGLG00100019257
fukomys_damarensis ENSFDAG00000017952
cavia_porcellus ENSCPOG00000030293
chinchilla_lanigera ENSCLAG00000003509
octodon_degus ENSODEG00000003431
spermophilus_dauricus ENSSDAG00000015483
marmota_marmota_marmota ENSMMMG00000022917
urocitellus_parryii ENSUPAG00010008891
ictidomys_tridecemlineatus ENSSTOG00000004134
tupaia_belangeri ENSTBEG00000017095
dasypus_novemcinctus ENSDNOG00000048512
erinaceus_europaeus ENSEEUG00000013809
phascolarctos_cinereus ENSPCIG00000027707
sarcophilus_harrisii ENSSHAG00000007601
ornithorhynchus_anatinus ENSOANG00000032004
latimeria_chalumnae ENSLACG00000022415
lepisosteus_oculatus ENSLOCG00000007461
ciona_intestinalis ENSCING00000006971
