cyanistes_caeruleus ENSCCEG00000002764
parus_major ENSPMJG00000012249
ficedula_albicollis ENSFALG00000001548
zonotrichia_albicollis ENSZALG00000014152
junco_hyemalis ENSJHYG00000002846
taeniopygia_guttata ENSTGUG00000013511
lonchura_striata ENSLSDG00000009947
serinus_canaria ENSSCAG00000012296
lepidothrix_coronata ENSLCOG00000008802
manacus_vitellinus ENSMVIG00005005472
melopsittacus_undulatus ENSMUNG00000007261
calidris_pygmaea ENSCPGG00000000319
calidris_pugnax ENSCPUG00000004011
anser_brachyrhynchus ENSABRG00000001613
anas_platyrhynchos ENSAPLG00000006696
meleagris_gallopavo ENSMGAG00000014437
coturnix_japonica ENSCJPG00005003354
gallus_gallus ENSGALG00000019211
numida_meleagris ENSNMEG00000010391
apteryx_rowi ENSARWG00000002925
apteryx_owenii ENSAOWG00000002562
apteryx_haastii ENSAHAG00000012209
dromaius_novaehollandiae ENSDNVG00000004695
nothoprocta_perdicaria ENSNPEG00000014145
crocodylus_porosus ENSCPRG00005011177
gopherus_agassizii ENSGAGG00000011274
chelonoidis_abingdonii ENSCABG00000006324
chrysemys_picta ENSCPBG00000006089
pelodiscus_sinensis ENSPSIG00000009813
anolis_carolinensis ENSACAG00000029327
anolis_carolinensis ENSACAG00000025602
pogona_vitticeps ENSPVIG00000010632
notechis_scutatus ENSNSUG00000016188
salvator_merianae ENSSMRG00000002222
sphenodon_punctatus ENSSPUG00000018576
sarcophilus_harrisii ENSSHAG00000018323
monodelphis_domestica ENSMODG00000002482
phascolarctos_cinereus ENSPCIG00000030034
phascolarctos_cinereus ENSPCIG00000026830
vombatus_ursinus ENSVURG00010003618
notamacropus_eugenii ENSMEUG00000001673
ursus_americanus ENSUAMG00000018439
ursus_maritimus ENSUMAG00000016528
ailuropoda_melanoleuca ENSAMEG00000000018
neovison_vison ENSNVIG00000008178
mustela_putorius ENSMPUG00000015684
canis_lupus ENSCAFG00020022822
canis_lupus ENSCAFG00000015596
vulpes_vulpes ENSVVUG00000026348
panthera_pardus ENSPPRG00000003002
panthera_tigris ENSPTIG00000011034
felis_catus ENSFCAG00000009285
equus_caballus ENSECAG00000015077
equus_asinus ENSEASG00005019126
vicugna_pacos ENSVPAG00000004937
sus_scrofa ENSSSCG00000006316
bos_indicus ENSBIXG00000027480
bos_indicus ENSBIXG00005022817
bos_taurus ENSBTAG00000016550
bos_mutus ENSBMUG00000026562
bison_bison ENSBBBG00000004670
ovis_aries ENSOARG00000011888
capra_hircus ENSCHIG00000025356
tursiops_truncatus ENSTTRG00000006132
erinaceus_europaeus ENSEEUG00000014050
pan_paniscus ENSPPAG00000042153
pan_troglodytes ENSPTRG00000001629
homo_sapiens ENSG00000143194
gorilla_gorilla ENSGGOG00000012560
pongo_abelii ENSPPYG00000000555
nomascus_leucogenys ENSNLEG00000014771
macaca_fascicularis ENSMFAG00000040593
macaca_mulatta ENSMMUG00000023463
macaca_nemestrina ENSMNEG00000042870
theropithecus_gelada ENSTGEG00000008477
papio_anubis ENSPANG00000000174
cercocebus_atys ENSCATG00000036493
mandrillus_leucophaeus ENSMLEG00000034260
chlorocebus_sabaeus ENSCSAG00000010893
colobus_angolensis ENSCANG00000032047
piliocolobus_tephrosceles ENSPTEG00000021340
rhinopithecus_roxellana ENSRROG00000039365
rhinopithecus_bieti ENSRBIG00000038763
cebus_capucinus ENSCCAG00000033367
saimiri_boliviensis ENSSBOG00000027193
callithrix_jacchus ENSCJAG00000017185
aotus_nancymaae ENSANAG00000031520
carlito_syrichta ENSTSYG00000003248
prolemur_simus ENSPSMG00000010178
propithecus_coquereli ENSPCOG00000007295
microcebus_murinus ENSMICG00000034747
otolemur_garnettii ENSOGAG00000007627
cricetulus_griseus ENSCGRG00000017037
cricetulus_griseus ENSCGRG00001009188
cricetulus_griseus ENSCGRG00015008310
mesocricetus_auratus ENSMAUG00000021599
microtus_ochrogaster ENSMOCG00000004042
peromyscus_maniculatus ENSPEMG00000028769
mus_spicilegus ENSMSIG00000012963
mus_spretus MGP_SPRETEiJ_G0015621
mus_musculus ENSMUSG00000040629
mus_caroli MGP_CAROLIEiJ_G0014814
mus_pahari MGP_PahariEiJ_G0028051
rattus_norvegicus ENSRNOG00000003790
nannospalax_galili ENSNGAG00000013179
jaculus_jaculus ENSJJAG00000011625
dipodomys_ordii ENSDORG00000001149
heterocephalus_glaber ENSHGLG00000013438
heterocephalus_glaber ENSHGLG00100014285
fukomys_damarensis ENSFDAG00000012846
cavia_porcellus ENSCPOG00000005046
cavia_aperea ENSCAPG00000014130
chinchilla_lanigera ENSCLAG00000006862
octodon_degus ENSODEG00000002276
marmota_marmota ENSMMMG00000020549
ictidomys_tridecemlineatus ENSSTOG00000015434
spermophilus_dauricus ENSSDAG00000004301
oryctolagus_cuniculus ENSOCUG00000005848
ochotona_princeps ENSOPRG00000005269
choloepus_hoffmanni ENSCHOG00000011901
dasypus_novemcinctus ENSDNOG00000016383
loxodonta_africana ENSLAFG00000021470
procavia_capensis ENSPCAG00000013028
echinops_telfairi ENSETEG00000001331
myotis_lucifugus ENSMLUG00000004095
pteropus_vampyrus ENSPVAG00000013294
tupaia_belangeri ENSTBEG00000003322
ornithorhynchus_anatinus ENSOANG00000003874
xenopus_tropicalis ENSXETG00000015359
latimeria_chalumnae ENSLACG00000008630
callorhinchus_milii ENSCMIG00000000319
eptatretus_burgeri ENSEBUG00000014398
ciona_savignyi ENSCSAVG00000009088
ciona_intestinalis ENSCING00000010065
drosophila_melanogaster FBgn0016034
