cynoglossus_semilaevis ENSCSEG00000007384
takifugu_rubripes ENSTRUG00000019629
acanthochromis_polyacanthus ENSAPOG00000011431
periophthalmus_magnuspinnatus ENSPMGG00000001627
kryptolebias_marmoratus ENSKMAG00000002637
fundulus_heteroclitus ENSFHEG00000011676
cyprinodon_variegatus ENSCVAG00000023237
xiphophorus_couchianus ENSXCOG00000019558
oryzias_latipes_asm223469v1 ENSORLG00015016197
oryzias_latipes ENSORLG00020010123
haplochromis_burtoni ENSHBUG00000004186
astatotilapia_calliptera ENSACLG00000018789
maylandia_zebra ENSMZEG00005022390
pundamilia_nyererei ENSPNYG00000005346
amphilophus_citrinellus ENSACIG00000010543
acanthochromis_polyacanthus ENSAPOG00000019700
scophthalmus_maximus ENSSMAG00000016935
monopterus_albus ENSMALG00000003656
periophthalmus_magnuspinnatus ENSPMGG00000008762
hippocampus_comes ENSHCOG00000002606
