serinus_canaria ENSSCAG00000005664
lonchura_striata_domestica ENSLSDG00000012413
junco_hyemalis ENSJHYG00000004409
ficedula_albicollis ENSFALG00000008627
parus_major ENSPMJG00000013379
lepidothrix_coronata ENSLCOG00000012451
manacus_vitellinus ENSMVIG00005015073
melopsittacus_undulatus ENSMUNG00000004529
calidris_pygmaea ENSCPGG00000009088
calidris_pugnax ENSCPUG00000019075
meleagris_gallopavo ENSMGAG00000017331
coturnix_japonica ENSCJPG00005008420
gallus_gallus ENSGALG00000026086
anser_brachyrhynchus ENSABRG00000022219
anas_platyrhynchos_platyrhynchos ENSAPLG00000010294
numida_meleagris ENSNMEG00000021457
apteryx_owenii ENSAOWG00000001783
apteryx_rowi ENSARWG00000006396
apteryx_haastii ENSAHAG00000012876
dromaius_novaehollandiae ENSDNVG00000005806
nothoprocta_perdicaria ENSNPEG00000008547
crocodylus_porosus ENSCPRG00005011782
chelonoidis_abingdonii ENSCABG00000007351
chrysemys_picta_bellii ENSCPBG00000021584
pelodiscus_sinensis ENSPSIG00000015306
salvator_merianae ENSSMRG00000020871
pogona_vitticeps ENSPVIG00000017493
sphenodon_punctatus ENSSPUG00000008236
pelodiscus_sinensis ENSPSIG00000009305
gopherus_agassizii ENSGAGG00000002335
sus_scrofa ENSSSCG00000009955
tursiops_truncatus ENSTTRG00000016507
pteropus_vampyrus ENSPVAG00000008131
capra_hircus ENSCHIG00000016282
ovis_aries ENSOARG00000019007
bos_taurus ENSBTAG00000004088
bos_mutus ENSBMUG00000000954
bison_bison_bison ENSBBBG00000011179
equus_caballus ENSECAG00000015860
equus_asinus_asinus ENSEASG00005007949
myotis_lucifugus ENSMLUG00000007335
ursus_americanus ENSUAMG00000009335
ursus_maritimus ENSUMAG00000014722
ailuropoda_melanoleuca ENSAMEG00000017933
neovison_vison ENSNVIG00000004026
mustela_putorius_furo ENSMPUG00000013663
canis_lupus_familiaris ENSCAFG00000023827
canis_lupus_dingo ENSCAFG00020022363
vulpes_vulpes ENSVVUG00000015977
panthera_tigris_altaica ENSPTIG00000000009
panthera_pardus ENSPPRG00000005606
felis_catus ENSFCAG00000013788
cavia_aperea ENSCAPG00000017648
cavia_porcellus ENSCPOG00000003687
octodon_degus ENSODEG00000016971
heterocephalus_glaber_female ENSHGLG00000017122
heterocephalus_glaber_male ENSHGLG00100013495
peromyscus_maniculatus_bairdii ENSPEMG00000018316
microtus_ochrogaster ENSMOCG00000002944
meriones_unguiculatus ENSMUGG00000015502
cricetulus_griseus_crigri ENSCGRG00000011509
cricetulus_griseus_chok1gshd ENSCGRG00001018704
cricetulus_griseus_crigri-picr ENSCGRG00015022753
mesocricetus_auratus ENSMAUG00000014782
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028569
mus_spicilegus ENSMSIG00000007581
mus_musculus ENSMUSG00000042240
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027571
mus_pahari MGP_PahariEiJ_G0024153
rattus_norvegicus ENSRNOG00000050023
nannospalax_galili ENSNGAG00000001230
urocitellus_parryii ENSUPAG00010007053
ictidomys_tridecemlineatus ENSSTOG00000002950
marmota_marmota_marmota ENSMMMG00000018133
dipodomys_ordii ENSDORG00000004477
castor_canadensis ENSCCNG00000015424
jaculus_jaculus ENSJJAG00000017039
oryctolagus_cuniculus ENSOCUG00000016082
ochotona_princeps ENSOPRG00000006959
cebus_capucinus ENSCCAG00000029539
saimiri_boliviensis_boliviensis ENSSBOG00000031297
callithrix_jacchus ENSCJAG00000009338
aotus_nancymaae ENSANAG00000023253
papio_anubis ENSPANG00000025051
theropithecus_gelada ENSTGEG00000027681
cercocebus_atys ENSCATG00000040020
macaca_mulatta ENSMMUG00000006853
macaca_fascicularis ENSMFAG00000032777
chlorocebus_sabaeus ENSCSAG00000010184
rhinopithecus_roxellana ENSRROG00000043281
rhinopithecus_bieti ENSRBIG00000043915
piliocolobus_tephrosceles ENSPTEG00000026201
colobus_angolensis_palliatus ENSCANG00000005220
pan_paniscus ENSPPAG00000033834
pan_troglodytes ENSPTRG00000014185
homo_sapiens ENSG00000244752
pongo_abelii ENSPPYG00000011658
nomascus_leucogenys ENSNLEG00000007717
mandrillus_leucophaeus ENSMLEG00000033212
macaca_nemestrina ENSMNEG00000029640
gorilla_gorilla ENSGGOG00000006228
carlito_syrichta ENSTSYG00000012110
microcebus_murinus ENSMICG00000014674
prolemur_simus ENSPSMG00000024455
propithecus_coquereli ENSPCOG00000013993
otolemur_garnettii ENSOGAG00000003446
macaca_nemestrina ENSMNEG00000042198
macaca_fascicularis ENSMFAG00000032716
mandrillus_leucophaeus ENSMLEG00000009063
theropithecus_gelada ENSTGEG00000001925
piliocolobus_tephrosceles ENSPTEG00000020589
chinchilla_lanigera ENSCLAG00000015578
spermophilus_dauricus ENSSDAG00000003075
loxodonta_africana ENSLAFG00000006843
echinops_telfairi ENSETEG00000006812
procavia_capensis ENSPCAG00000005565
phascolarctos_cinereus ENSPCIG00000009948
notamacropus_eugenii ENSMEUG00000010066
sarcophilus_harrisii ENSSHAG00000006553
monodelphis_domestica ENSMODG00000010462
ornithorhynchus_anatinus ENSOANG00000012802
xenopus_tropicalis ENSXETG00000001512
latimeria_chalumnae ENSLACG00000012810
scleropages_formosus ENSSFOG00015014871
paramormyrops_kingsleyae ENSPKIG00000016321
scleropages_formosus ENSSFOG00015005838
poecilia_latipinna ENSPLAG00000014195
poecilia_formosa ENSPFOG00000012793
poecilia_mexicana ENSPMEG00000018400
poecilia_reticulata ENSPREG00000020083
xiphophorus_maculatus ENSXMAG00000002930
gambusia_affinis ENSGAFG00000006039
cyprinodon_variegatus ENSCVAG00000017543
kryptolebias_marmoratus ENSKMAG00000011015
