ictalurus_punctatus ENSIPUG00000022865
astyanax_mexicanus ENSAMXG00000029703
danio_rerio ENSDARG00000104297
fundulus_heteroclitus ENSFHEG00000017260
cyprinodon_variegatus ENSCVAG00000003965
poecilia_formosa ENSPFOG00000023071
poecilia_latipinna ENSPLAG00000017077
poecilia_reticulata ENSPREG00000017284
poecilia_mexicana ENSPMEG00000005458
gambusia_affinis ENSGAFG00000017608
xiphophorus_couchianus ENSXCOG00000002834
kryptolebias_marmoratus ENSKMAG00000018969
amphiprion_percula ENSAPEG00000000191
amphiprion_ocellaris ENSAOCG00000001504
acanthochromis_polyacanthus ENSAPOG00000008339
astatotilapia_calliptera ENSACLG00000007987
haplochromis_burtoni ENSHBUG00000002758
pundamilia_nyererei ENSPNYG00000002630
maylandia_zebra ENSMZEG00005015904
amphilophus_citrinellus ENSACIG00000013485
mola_mola ENSMMOG00000016390
takifugu_rubripes ENSTRUG00000020452
monopterus_albus ENSMALG00000009857
anabas_testudineus ENSATEG00000017714
labrus_bergylta ENSLBEG00000016992
scophthalmus_maximus ENSSMAG00000005599
