mus_musculus ENSMUSG00000086022
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018461
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017619
mus_pahari MGP_PahariEiJ_G0029375
rattus_norvegicus ENSRNOG00000049271
meriones_unguiculatus ENSMUGG00000007988
cricetulus_griseus_crigri-picr ENSCGRG00015001587
mesocricetus_auratus ENSMAUG00000015167
microtus_ochrogaster ENSMOCG00000012235
nannospalax_galili ENSNGAG00000003559
jaculus_jaculus ENSJJAG00000013620
castor_canadensis ENSCCNG00000016749
urocitellus_parryii ENSUPAG00010009663
ictidomys_tridecemlineatus ENSSTOG00000025212
marmota_marmota_marmota ENSMMMG00000022347
oryctolagus_cuniculus ENSOCUG00000027767
pan_paniscus ENSPPAG00000041865
pan_troglodytes ENSPTRG00000034119
homo_sapiens ENSG00000214842
gorilla_gorilla ENSGGOG00000004887
pongo_abelii ENSPPYG00000012632
nomascus_leucogenys ENSNLEG00000001524
colobus_angolensis_palliatus ENSCANG00000029191
piliocolobus_tephrosceles ENSPTEG00000022164
rhinopithecus_roxellana ENSRROG00000039994
rhinopithecus_bieti ENSRBIG00000041339
mandrillus_leucophaeus ENSMLEG00000032822
cercocebus_atys ENSCATG00000035523
papio_anubis ENSPANG00000022532
theropithecus_gelada ENSTGEG00000017386
macaca_fascicularis ENSMFAG00000002803
macaca_nemestrina ENSMNEG00000034585
chlorocebus_sabaeus ENSCSAG00000007907
cebus_capucinus ENSCCAG00000024012
callithrix_jacchus ENSCJAG00000007262
saimiri_boliviensis_boliviensis ENSSBOG00000028552
aotus_nancymaae ENSANAG00000027176
carlito_syrichta ENSTSYG00000003638
microcebus_murinus ENSMICG00000038023
propithecus_coquereli ENSPCOG00000019163
prolemur_simus ENSPSMG00000007652
equus_caballus ENSECAG00000014706
equus_asinus_asinus ENSEASG00005009350
pteropus_vampyrus ENSPVAG00000015657
bos_mutus ENSBMUG00000014970
bos_taurus ENSBTAG00000037812
bison_bison_bison ENSBBBG00000005308
ovis_aries ENSOARG00000016488
tursiops_truncatus ENSTTRG00000017236
sus_scrofa ENSSSCG00000038058
vicugna_pacos ENSVPAG00000010297
ursus_americanus ENSUAMG00000003565
ursus_maritimus ENSUMAG00000023423
ailuropoda_melanoleuca ENSAMEG00000002644
mustela_putorius_furo ENSMPUG00000013634
neovison_vison ENSNVIG00000013682
canis_lupus_familiaris ENSCAFG00000032432
canis_lupus_dingo ENSCAFG00020026058
vulpes_vulpes ENSVVUG00000013222
panthera_pardus ENSPPRG00000020727
panthera_tigris_altaica ENSPTIG00000020726
felis_catus ENSFCAG00000028900
loxodonta_africana ENSLAFG00000025867
choloepus_hoffmanni ENSCHOG00000011190
dasypus_novemcinctus ENSDNOG00000049595
ornithorhynchus_anatinus ENSOANG00000021556
chelonoidis_abingdonii ENSCABG00000003740
gopherus_agassizii ENSGAGG00000022702
pelodiscus_sinensis ENSPSIG00000012137
anser_brachyrhynchus ENSABRG00000014137
anas_platyrhynchos_platyrhynchos ENSAPLG00000025611
gallus_gallus ENSGALG00000051018
coturnix_japonica ENSCJPG00005011113
numida_meleagris ENSNMEG00000005468
calidris_pygmaea ENSCPGG00000016305
calidris_pugnax ENSCPUG00000004498
melopsittacus_undulatus ENSMUNG00000014215
zonotrichia_albicollis ENSZALG00000011456
junco_hyemalis ENSJHYG00000005673
serinus_canaria ENSSCAG00000013192
cyanistes_caeruleus ENSCCEG00000010704
parus_major ENSPMJG00000012476
ficedula_albicollis ENSFALG00000001832
manacus_vitellinus ENSMVIG00005002904
lepidothrix_coronata ENSLCOG00000001128
apteryx_owenii ENSAOWG00000007352
apteryx_haastii ENSAHAG00000008258
apteryx_rowi ENSARWG00000014715
dromaius_novaehollandiae ENSDNVG00000010791
nothoprocta_perdicaria ENSNPEG00000006809
crocodylus_porosus ENSCPRG00005005559
