cyprinodon_variegatus ENSCVAG00000021031
fundulus_heteroclitus ENSFHEG00000019948
neolamprologus_brichardi ENSNBRG00000008351
seriola_lalandi_dorsalis ENSSLDG00000004059
periophthalmus_magnuspinnatus ENSPMGG00000016878
periophthalmus_magnuspinnatus ENSPMGG00000005896
hippocampus_comes ENSHCOG00000017848
danio_rerio ENSDARG00000117000
pygocentrus_nattereri ENSPNAG00000022331
xiphophorus_couchianus ENSXCOG00000018360
astyanax_mexicanus ENSAMXG00000039978
anas_platyrhynchos_platyrhynchos ENSAPLG00000024510
nothoprocta_perdicaria ENSNPEG00000007625
