gasterosteus_aculeatus ENSGACG00000017657
mola_mola ENSMMOG00000006843
seriola_lalandi_dorsalis ENSSLDG00000016817
seriola_dumerili ENSSDUG00000002980
cynoglossus_semilaevis ENSCSEG00000002589
poecilia_mexicana ENSPMEG00000018654
xiphophorus_couchianus ENSXCOG00000005564
cyprinodon_variegatus ENSCVAG00000003184
cyprinodon_variegatus ENSCVAG00000003189
kryptolebias_marmoratus ENSKMAG00000000763
oryzias_melastigma ENSOMEG00000007336
maylandia_zebra ENSMZEG00005019840
pundamilia_nyererei ENSPNYG00000009034
neolamprologus_brichardi ENSNBRG00000013450
mastacembelus_armatus ENSMAMG00000016543
periophthalmus_magnuspinnatus ENSPMGG00000023659
gadus_morhua ENSGMOG00000009433
astyanax_mexicanus ENSAMXG00000042697
