hippocampus_comes ENSHCOG00000007083
gambusia_affinis ENSGAFG00000013765
periophthalmus_magnuspinnatus ENSPMGG00000002539
mola_mola ENSMMOG00000004000
tetraodon_nigroviridis ENSTNIG00000007125
takifugu_rubripes ENSTRUG00000004479
anabas_testudineus ENSATEG00000010218
poecilia_formosa ENSPFOG00000023633
poecilia_mexicana ENSPMEG00000009627
poecilia_latipinna ENSPLAG00000005428
poecilia_reticulata ENSPREG00000000095
xiphophorus_maculatus ENSXMAG00000021449
xiphophorus_couchianus ENSXCOG00000005740
cyprinodon_variegatus ENSCVAG00000013074
fundulus_heteroclitus ENSFHEG00000015940
oryzias_latipes ENSORLG00000008141
oryzias_latipes ENSORLG00020014226
oryzias_latipes_asm223469v1 ENSORLG00015013887
oryzias_melastigma ENSOMEG00000002302
amphiprion_ocellaris ENSAOCG00000014587
amphiprion_percula ENSAPEG00000002388
acanthochromis_polyacanthus ENSAPOG00000011257
scophthalmus_maximus ENSSMAG00000001284
stegastes_partitus ENSSPAG00000020043
kryptolebias_marmoratus ENSKMAG00000006178
cynoglossus_semilaevis ENSCSEG00000015868
seriola_dumerili ENSSDUG00000018799
seriola_lalandi_dorsalis ENSSLDG00000023995
maylandia_zebra ENSMZEG00005007308
astatotilapia_calliptera ENSACLG00000027242
haplochromis_burtoni ENSHBUG00000010485
pundamilia_nyererei ENSPNYG00000015382
neolamprologus_brichardi ENSNBRG00000006898
oreochromis_niloticus ENSONIG00000010168
amphilophus_citrinellus ENSACIG00000022365
mastacembelus_armatus ENSMAMG00000009883
labrus_bergylta ENSLBEG00000001653
gambusia_affinis ENSGAFG00000013762
monopterus_albus ENSMALG00000001206
gasterosteus_aculeatus ENSGACG00000016880
gadus_morhua ENSGMOG00000019779
esox_lucius ENSELUG00000021302
paramormyrops_kingsleyae ENSPKIG00000024139
scleropages_formosus ENSSFOG00015020958
pygocentrus_nattereri ENSPNAG00000003779
astyanax_mexicanus ENSAMXG00000038683
ictalurus_punctatus ENSIPUG00000021267
danio_rerio ENSDARG00000055852
esox_lucius ENSELUG00000011751
chelonoidis_abingdonii ENSCABG00000004303
gopherus_agassizii ENSGAGG00000017594
chrysemys_picta_bellii ENSCPBG00000009164
pelodiscus_sinensis ENSPSIG00000001974
crocodylus_porosus ENSCPRG00005011475
anolis_carolinensis ENSACAG00000007053
pogona_vitticeps ENSPVIG00000003946
notechis_scutatus ENSNSUG00000009525
salvator_merianae ENSSMRG00000009757
salvator_merianae ENSSMRG00000005504
sphenodon_punctatus ENSSPUG00000016167
xenopus_tropicalis ENSXETG00000017134
taeniopygia_guttata ENSTGUG00000006983
lonchura_striata_domestica ENSLSDG00000009589
serinus_canaria ENSSCAG00000009715
junco_hyemalis ENSJHYG00000008895
zonotrichia_albicollis ENSZALG00000011711
ficedula_albicollis ENSFALG00000011149
parus_major ENSPMJG00000002916
lepidothrix_coronata ENSLCOG00000000724
manacus_vitellinus ENSMVIG00005012361
cyanistes_caeruleus ENSCCEG00000006630
melopsittacus_undulatus ENSMUNG00000001529
calidris_pygmaea ENSCPGG00000016959
calidris_pugnax ENSCPUG00000015293
meleagris_gallopavo ENSMGAG00000011457
gallus_gallus ENSGALG00000013576
coturnix_japonica ENSCJPG00005007114
numida_meleagris ENSNMEG00000008553
anas_platyrhynchos_platyrhynchos ENSAPLG00000009307
anser_brachyrhynchus ENSABRG00000020105
apteryx_rowi ENSARWG00000014732
apteryx_owenii ENSAOWG00000018592
apteryx_haastii ENSAHAG00000018916
dromaius_novaehollandiae ENSDNVG00000001615
nothoprocta_perdicaria ENSNPEG00000014589
sarcophilus_harrisii ENSSHAG00000001139
monodelphis_domestica ENSMODG00000004999
phascolarctos_cinereus ENSPCIG00000006518
castor_canadensis ENSCCNG00000020162
dipodomys_ordii ENSDORG00000005478
mus_spicilegus ENSMSIG00000027091
mus_musculus ENSMUSG00000054764
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032129
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031015
mus_pahari MGP_PahariEiJ_G0021483
rattus_norvegicus ENSRNOG00000028744
meriones_unguiculatus ENSMUGG00000014482
cricetulus_griseus_crigri ENSCGRG00000007834
cricetulus_griseus_chok1gshd ENSCGRG00001002715
cricetulus_griseus_crigri-picr ENSCGRG00015022758
mesocricetus_auratus ENSMAUG00000016269
microtus_ochrogaster ENSMOCG00000005298
peromyscus_maniculatus_bairdii ENSPEMG00000015880
nannospalax_galili ENSNGAG00000014380
jaculus_jaculus ENSJJAG00000013431
heterocephalus_glaber_female ENSHGLG00000006831
heterocephalus_glaber_male ENSHGLG00100011453
fukomys_damarensis ENSFDAG00000021509
chinchilla_lanigera ENSCLAG00000015269
octodon_degus ENSODEG00000006395
cavia_porcellus ENSCPOG00000009764
urocitellus_parryii ENSUPAG00010006549
ictidomys_tridecemlineatus ENSSTOG00000020582
spermophilus_dauricus ENSSDAG00000018492
marmota_marmota_marmota ENSMMMG00000010545
oryctolagus_cuniculus ENSOCUG00000023278
pteropus_vampyrus ENSPVAG00000004585
erinaceus_europaeus ENSEEUG00000003235
equus_asinus_asinus ENSEASG00005018323
equus_caballus ENSECAG00000000202
capra_hircus ENSCHIG00000016838
ovis_aries ENSOARG00000008287
bos_mutus ENSBMUG00000005597
bos_taurus ENSBTAG00000046938
bison_bison_bison ENSBBBG00000003051
vicugna_pacos ENSVPAG00000012342
sus_scrofa ENSSSCG00000007002
ursus_americanus ENSUAMG00000013401
ursus_maritimus ENSUMAG00000012272
ailuropoda_melanoleuca ENSAMEG00000005083
neovison_vison ENSNVIG00000020442
mustela_putorius_furo ENSMPUG00000010329
canis_lupus_dingo ENSCAFG00020000162
vulpes_vulpes ENSVVUG00000012211
panthera_pardus ENSPPRG00000003712
panthera_tigris_altaica ENSPTIG00000013070
felis_catus ENSFCAG00000031073
choloepus_hoffmanni ENSCHOG00000009315
propithecus_coquereli ENSPCOG00000024584
prolemur_simus ENSPSMG00000010536
microcebus_murinus ENSMICG00000046958
otolemur_garnettii ENSOGAG00000009236
pan_troglodytes ENSPTRG00000016664
pan_paniscus ENSPPAG00000027969
homo_sapiens ENSG00000168412
gorilla_gorilla ENSGGOG00000011683
pongo_abelii ENSPPYG00000015258
nomascus_leucogenys ENSNLEG00000011570
macaca_mulatta ENSMMUG00000018050
macaca_nemestrina ENSMNEG00000029952
macaca_fascicularis ENSMFAG00000039096
theropithecus_gelada ENSTGEG00000025047
papio_anubis ENSPANG00000007824
mandrillus_leucophaeus ENSMLEG00000037498
cercocebus_atys ENSCATG00000029217
chlorocebus_sabaeus ENSCSAG00000002918
rhinopithecus_roxellana ENSRROG00000043400
rhinopithecus_bieti ENSRBIG00000044170
piliocolobus_tephrosceles ENSPTEG00000015014
saimiri_boliviensis_boliviensis ENSSBOG00000032777
callithrix_jacchus ENSCJAG00000020300
cebus_capucinus ENSCCAG00000017653
aotus_nancymaae ENSANAG00000031786
carlito_syrichta ENSTSYG00000011657
procavia_capensis ENSPCAG00000004428
tupaia_belangeri ENSTBEG00000014986
latimeria_chalumnae ENSLACG00000008992
danio_rerio ENSDARG00000037545
astyanax_mexicanus ENSAMXG00000038647
astyanax_mexicanus ENSAMXG00000038215
pygocentrus_nattereri ENSPNAG00000011719
homo_sapiens ENSG00000272297
astyanax_mexicanus ENSAMXG00000040854
pygocentrus_nattereri ENSPNAG00000013576
ictalurus_punctatus ENSIPUG00000001223
ornithorhynchus_anatinus ENSOANG00000012995
petromyzon_marinus ENSPMAG00000008658
