lonchura_striata_domestica ENSLSDG00000013126
taeniopygia_guttata ENSTGUG00000005925
zonotrichia_albicollis ENSZALG00000015806
junco_hyemalis ENSJHYG00000008309
ficedula_albicollis ENSFALG00000006504
parus_major ENSPMJG00000019053
lepidothrix_coronata ENSLCOG00000011027
anas_platyrhynchos_platyrhynchos ENSAPLG00000013900
anser_brachyrhynchus ENSABRG00000011446
gallus_gallus ENSGALG00000023757
coturnix_japonica ENSCJPG00005011429
numida_meleagris ENSNMEG00000015663
calidris_pugnax ENSCPUG00000020044
calidris_pygmaea ENSCPGG00000007692
manacus_vitellinus ENSMVIG00005010930
serinus_canaria ENSSCAG00000007209
melopsittacus_undulatus ENSMUNG00000004581
nothoprocta_perdicaria ENSNPEG00000000167
apteryx_haastii ENSAHAG00000014026
apteryx_rowi ENSARWG00000014394
apteryx_owenii ENSAOWG00000007421
dromaius_novaehollandiae ENSDNVG00000008459
crocodylus_porosus ENSCPRG00005015830
gopherus_agassizii ENSGAGG00000025621
chrysemys_picta_bellii ENSCPBG00000020356
pelodiscus_sinensis ENSPSIG00000018150
pogona_vitticeps ENSPVIG00000017076
anolis_carolinensis ENSACAG00000011872
notechis_scutatus ENSNSUG00000005617
salvator_merianae ENSSMRG00000006872
sphenodon_punctatus ENSSPUG00000006946
notamacropus_eugenii ENSMEUG00000006461
notamacropus_eugenii ENSMEUG00000004926
notamacropus_eugenii ENSMEUG00000015327
notamacropus_eugenii ENSMEUG00000007383
phascolarctos_cinereus ENSPCIG00000023631
sarcophilus_harrisii ENSSHAG00000012621
monodelphis_domestica ENSMODG00000019239
loxodonta_africana ENSLAFG00000010533
procavia_capensis ENSPCAG00000000822
echinops_telfairi ENSETEG00000002489
echinops_telfairi ENSETEG00000014342
choloepus_hoffmanni ENSCHOG00000005622
mus_musculus ENSMUSG00000051232
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017653
mus_spicilegus ENSMSIG00000009997
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016810
mus_pahari MGP_PahariEiJ_G0017947
rattus_norvegicus ENSRNOG00000009896
meriones_unguiculatus ENSMUGG00000014188
cricetulus_griseus_crigri-picr ENSCGRG00015015305
cricetulus_griseus_chok1gshd ENSCGRG00001005645
cricetulus_griseus_crigri ENSCGRG00000011156
