tetraodon_nigroviridis ENSTNIG00000002285
takifugu_rubripes ENSTRUG00000012011
labrus_bergylta ENSLBEG00000020757
labrus_bergylta ENSLBEG00000020605
labrus_bergylta ENSLBEG00000020822
takifugu_rubripes ENSTRUG00000001326
oreochromis_niloticus ENSONIG00000019817
haplochromis_burtoni ENSHBUG00000006217
neolamprologus_brichardi ENSNBRG00000012011
anabas_testudineus ENSATEG00000011817
scophthalmus_maximus ENSSMAG00000019950
ciona_intestinalis ENSCING00000021786
ciona_intestinalis ENSCING00000023164
