mus_spicilegus ENSMSIG00000001646
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027586
mus_musculus ENSMUSG00000000682
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026606
mus_pahari MGP_PahariEiJ_G0028939
rattus_norvegicus ENSRNOG00000015403
meriones_unguiculatus ENSMUGG00000020053
cricetulus_griseus_crigri ENSCGRG00000017265
cricetulus_griseus_crigri-picr ENSCGRG00015017553
peromyscus_maniculatus_bairdii ENSPEMG00000026941
castor_canadensis ENSCCNG00000023310
theropithecus_gelada ENSTGEG00000006967
cercocebus_atys ENSCATG00000044637
papio_anubis ENSPANG00000032260
mandrillus_leucophaeus ENSMLEG00000014796
macaca_nemestrina ENSMNEG00000029211
macaca_fascicularis ENSMFAG00000041646
macaca_mulatta ENSMMUG00000010240
chlorocebus_sabaeus ENSCSAG00000000972
colobus_angolensis_palliatus ENSCANG00000040332
piliocolobus_tephrosceles ENSPTEG00000018169
rhinopithecus_bieti ENSRBIG00000029282
rhinopithecus_roxellana ENSRROG00000045088
pan_paniscus ENSPPAG00000037302
pan_troglodytes ENSPTRG00000000381
gorilla_gorilla ENSGGOG00000007697
homo_sapiens ENSG00000169442
pongo_abelii ENSPPYG00000001687
nomascus_leucogenys ENSNLEG00000009284
callithrix_jacchus ENSCJAG00000035812
cebus_capucinus ENSCCAG00000036481
aotus_nancymaae ENSANAG00000037821
prolemur_simus ENSPSMG00000011780
ursus_maritimus ENSUMAG00000012665
ursus_americanus ENSUAMG00000006990
ailuropoda_melanoleuca ENSAMEG00000010552
neovison_vison ENSNVIG00000023648
canis_lupus_dingo ENSCAFG00020021394
canis_lupus_familiaris ENSCAFG00000012520
vulpes_vulpes ENSVVUG00000011764
panthera_pardus ENSPPRG00000007514
panthera_tigris_altaica ENSPTIG00000015054
felis_catus ENSFCAG00000023721
bos_taurus ENSBTAG00000005628
bos_mutus ENSBMUG00000016389
bison_bison_bison ENSBBBG00000003164
capra_hircus ENSCHIG00000017500
ovis_aries ENSOARG00000004803
sus_scrofa ENSSSCG00000040957
equus_caballus ENSECAG00000009733
equus_asinus_asinus ENSEASG00005003958
