taeniopygia_guttata ENSTGUG00000002525
lonchura_striata ENSLSDG00000014843
lepidothrix_coronata ENSLCOG00000003164
serinus_canaria ENSSCAG00000010439
junco_hyemalis ENSJHYG00000016631
zonotrichia_albicollis ENSZALG00000010933
parus_major ENSPMJG00000015133
ficedula_albicollis ENSFALG00000005227
melopsittacus_undulatus ENSMUNG00000016338
nothoprocta_perdicaria ENSNPEG00000004319
calidris_pugnax ENSCPUG00000008055
calidris_pygmaea ENSCPGG00000004697
anas_platyrhynchos ENSAPLG00000029618
anser_brachyrhynchus ENSABRG00000018555
gallus_gallus ENSGALG00000008925
meleagris_gallopavo ENSMGAG00000015766
coturnix_japonica ENSCJPG00005015835
numida_meleagris ENSNMEG00000000722
apteryx_haastii ENSAHAG00000011902
apteryx_rowi ENSARWG00000002178
apteryx_owenii ENSAOWG00000000335
dromaius_novaehollandiae ENSDNVG00000003716
notechis_scutatus ENSNSUG00000000673
salvator_merianae ENSSMRG00000000472
crocodylus_porosus ENSCPRG00005011980
pelodiscus_sinensis ENSPSIG00000010331
gopherus_agassizii ENSGAGG00000004266
chelonoidis_abingdonii ENSCABG00000018025
chrysemys_picta ENSCPBG00000000727
sphenodon_punctatus ENSSPUG00000011031
sphenodon_punctatus ENSSPUG00000012021
marmota_marmota ENSMMMG00000008754
spermophilus_dauricus ENSSDAG00000003368
urocitellus_parryii ENSUPAG00010006119
ictidomys_tridecemlineatus ENSSTOG00000020912
spermophilus_dauricus ENSSDAG00000007146
castor_canadensis ENSCCNG00000003024
peromyscus_maniculatus ENSPEMG00000006262
microtus_ochrogaster ENSMOCG00000002237
cricetulus_griseus ENSCGRG00001007727
cricetulus_griseus ENSCGRG00015007067
cricetulus_griseus ENSCGRG00000011163
mesocricetus_auratus ENSMAUG00000009023
mus_spicilegus ENSMSIG00000023470
mus_spretus MGP_SPRETEiJ_G0024177
mus_musculus ENSMUSG00000078201
mus_caroli MGP_CAROLIEiJ_G0023260
mus_pahari MGP_PahariEiJ_G0024718
rattus_norvegicus ENSRNOG00000010894
meriones_unguiculatus ENSMUGG00000006807
nannospalax_galili ENSNGAG00000007485
jaculus_jaculus ENSJJAG00000000546
cavia_porcellus ENSCPOG00000023800
octodon_degus ENSODEG00000018574
chinchilla_lanigera ENSCLAG00000017753
heterocephalus_glaber ENSHGLG00000020656
heterocephalus_glaber ENSHGLG00100020382
fukomys_damarensis ENSFDAG00000020738
dipodomys_ordii ENSDORG00000009424
saimiri_boliviensis ENSSBOG00000010685
callithrix_jacchus ENSCJAG00000002165
cebus_capucinus ENSCCAG00000018771
