cricetulus_griseus_chok1gshd ENSCGRG00001017170
cricetulus_griseus_crigri-picr ENSCGRG00015018697
mesocricetus_auratus ENSMAUG00000021471
peromyscus_maniculatus_bairdii ENSPEMG00000024885
meriones_unguiculatus ENSMUGG00000009689
nannospalax_galili ENSNGAG00000019603
jaculus_jaculus ENSJJAG00000011864
castor_canadensis ENSCCNG00000027996
urocitellus_parryii ENSUPAG00010014713
marmota_marmota_marmota ENSMMMG00000017598
chinchilla_lanigera ENSCLAG00000001629
octodon_degus ENSODEG00000000732
cavia_porcellus ENSCPOG00000007405
heterocephalus_glaber_female ENSHGLG00000000597
fukomys_damarensis ENSFDAG00000000722
oryctolagus_cuniculus ENSOCUG00000029624
propithecus_coquereli ENSPCOG00000002810
prolemur_simus ENSPSMG00000010168
otolemur_garnettii ENSOGAG00000011214
macaca_fascicularis ENSMFAG00000035159
macaca_mulatta ENSMMUG00000048590
macaca_nemestrina ENSMNEG00000041115
theropithecus_gelada ENSTGEG00000000422
papio_anubis ENSPANG00000015684
cercocebus_atys ENSCATG00000036222
papio_anubis ENSPANG00000030444
cercocebus_atys ENSCATG00000015371
chlorocebus_sabaeus ENSCSAG00000016553
rhinopithecus_bieti ENSRBIG00000025359
rhinopithecus_roxellana ENSRROG00000024808
piliocolobus_tephrosceles ENSPTEG00000024778
homo_sapiens ENSG00000168159
gorilla_gorilla ENSGGOG00000026023
pan_troglodytes ENSPTRG00000002079
cebus_capucinus ENSCCAG00000028705
callithrix_jacchus ENSCJAG00000016779
tupaia_belangeri ENSTBEG00000005117
capra_hircus ENSCHIG00000012732
ovis_aries ENSOARG00000004525
bos_taurus ENSBTAG00000019667
tursiops_truncatus ENSTTRG00000000330
sus_scrofa ENSSSCG00000032994
myotis_lucifugus ENSMLUG00000002610
equus_caballus ENSECAG00000016200
equus_asinus_asinus ENSEASG00005017961
panthera_pardus ENSPPRG00000009598
felis_catus ENSFCAG00000042348
canis_lupus_dingo ENSCAFG00020005898
ursus_maritimus ENSUMAG00000000704
ursus_americanus ENSUAMG00000013539
ailuropoda_melanoleuca ENSAMEG00000014310
mustela_putorius_furo ENSMPUG00000001085
procavia_capensis ENSPCAG00000013198
loxodonta_africana ENSLAFG00000018209
echinops_telfairi ENSETEG00000015967
dasypus_novemcinctus ENSDNOG00000012828
