peromyscus_maniculatus ENSPEMG00000007258
microtus_ochrogaster ENSMOCG00000002164
cricetulus_griseus ENSCGRG00001024940
cricetulus_griseus ENSCGRG00000000872
cricetulus_griseus ENSCGRG00015026770
mus_spicilegus ENSMSIG00000020075
mus_spretus MGP_SPRETEiJ_G0026496
mus_musculus ENSMUSG00000027880
mus_caroli MGP_CAROLIEiJ_G0025546
mus_pahari MGP_PahariEiJ_G0026992
rattus_norvegicus ENSRNOG00000027522
nannospalax_galili ENSNGAG00000007862
jaculus_jaculus ENSJJAG00000014843
dipodomys_ordii ENSDORG00000027464
chinchilla_lanigera ENSCLAG00000004666
octodon_degus ENSODEG00000005840
cavia_aperea ENSCAPG00000008684
cavia_porcellus ENSCPOG00000031813
fukomys_damarensis ENSFDAG00000021109
ictidomys_tridecemlineatus ENSSTOG00000024778
spermophilus_dauricus ENSSDAG00000000666
urocitellus_parryii ENSUPAG00010003655
marmota_marmota ENSMMMG00000009051
oryctolagus_cuniculus ENSOCUG00000031055
chlorocebus_sabaeus ENSCSAG00000001527
theropithecus_gelada ENSTGEG00000000104
macaca_mulatta ENSMMUG00000059924
macaca_fascicularis ENSMFAG00000040287
piliocolobus_tephrosceles ENSPTEG00000011476
ursus_maritimus ENSUMAG00000012476
ursus_americanus ENSUAMG00000002252
neovison_vison ENSNVIG00000004635
vulpes_vulpes ENSVVUG00000000626
canis_lupus ENSCAFG00020011107
panthera_tigris ENSPTIG00000010997
panthera_pardus ENSPPRG00000003350
felis_catus ENSFCAG00000028258
equus_asinus ENSEASG00005022628
equus_caballus ENSECAG00000040191
bos_indicus ENSBIXG00000004604
bos_indicus ENSBIXG00005012346
bos_taurus ENSBTAG00000053831
bos_mutus ENSBMUG00000004438
bison_bison ENSBBBG00000000144
myotis_lucifugus ENSMLUG00000023413
