mandrillus_leucophaeus ENSMLEG00000039189
colobus_angolensis_palliatus ENSCANG00000038891
aotus_nancymaae ENSANAG00000028761
oryctolagus_cuniculus ENSOCUG00000028991
tupaia_belangeri ENSTBEG00000008255
erinaceus_europaeus ENSEEUG00000014567
sorex_araneus ENSSARG00000013162
pteropus_vampyrus ENSPVAG00000009936
bos_mutus ENSBMUG00000025687
ovis_aries ENSOARG00000010630
tursiops_truncatus ENSTTRG00000005039
vicugna_pacos ENSVPAG00000005482
panthera_pardus ENSPPRG00000014940
panthera_tigris_altaica ENSPTIG00000013102
felis_catus ENSFCAG00000042006
procavia_capensis ENSPCAG00000000242
choloepus_hoffmanni ENSCHOG00000010305
dasypus_novemcinctus ENSDNOG00000005794
sarcophilus_harrisii ENSSHAG00000012857
monodelphis_domestica ENSMODG00000012358
ficedula_albicollis ENSFALG00000009934
taeniopygia_guttata ENSTGUG00000002509
gallus_gallus ENSGALG00000043816
pelodiscus_sinensis ENSPSIG00000005293
