pundamilia_nyererei ENSPNYG00000000464
haplochromis_burtoni ENSHBUG00000007879
astatotilapia_calliptera ENSACLG00000000392
maylandia_zebra ENSMZEG00005022410
neolamprologus_brichardi ENSNBRG00000002572
cynoglossus_semilaevis ENSCSEG00000012893
anabas_testudineus ENSATEG00000002780
amphiprion_percula ENSAPEG00000010644
amphiprion_ocellaris ENSAOCG00000020772
stegastes_partitus ENSSPAG00000012013
xiphophorus_maculatus ENSXMAG00000025967
xiphophorus_couchianus ENSXCOG00000012572
poecilia_latipinna ENSPLAG00000015552
poecilia_mexicana ENSPMEG00000010530
poecilia_reticulata ENSPREG00000010311
gambusia_affinis ENSGAFG00000015892
fundulus_heteroclitus ENSFHEG00000013914
cyprinodon_variegatus ENSCVAG00000005138
kryptolebias_marmoratus ENSKMAG00000011077
mastacembelus_armatus ENSMAMG00000003709
seriola_dumerili ENSSDUG00000019469
seriola_lalandi_dorsalis ENSSLDG00000005410
mola_mola ENSMMOG00000005893
periophthalmus_magnuspinnatus ENSPMGG00000007591
