dromaius_novaehollandiae ENSDNVG00000007102
apteryx_rowi ENSARWG00000005135
nothoprocta_perdicaria ENSNPEG00000001403
anas_platyrhynchos ENSAPLG00000020014
anser_brachyrhynchus ENSABRG00000001693
gallus_gallus ENSGALG00000051520
numida_meleagris ENSNMEG00000015079
lonchura_striata ENSLSDG00000001886
cyanistes_caeruleus ENSCCEG00000004995
manacus_vitellinus ENSMVIG00005003129
junco_hyemalis ENSJHYG00000012961
calidris_pugnax ENSCPUG00000004743
chrysemys_picta ENSCPBG00000027783
chelonoidis_abingdonii ENSCABG00000001996
pogona_vitticeps ENSPVIG00000010169
salvator_merianae ENSSMRG00000003289
monodelphis_domestica ENSMODG00000051292
callorhinchus_milii ENSCMIG00000017016
