oryzias_latipes ENSORLG00020000267
oryzias_latipes_asm223469v1 ENSORLG00015008806
tetraodon_nigroviridis ENSTNIG00000000104
ictalurus_punctatus ENSIPUG00000020983
danio_rerio ENSDARG00000091961
pundamilia_nyererei ENSPNYG00000008335
haplochromis_burtoni ENSHBUG00000002025
neolamprologus_brichardi ENSNBRG00000001867
amphiprion_ocellaris ENSAOCG00000014837
amphiprion_percula ENSAPEG00000009686
mola_mola ENSMMOG00000019412
esox_lucius ENSELUG00000014682
danio_rerio ENSDARG00000093738
scleropages_formosus ENSSFOG00015013953
paramormyrops_kingsleyae ENSPKIG00000011033
apteryx_haastii ENSAHAG00000005894
apteryx_owenii ENSAOWG00000011772
apteryx_rowi ENSARWG00000018482
nothoprocta_perdicaria ENSNPEG00000013583
dromaius_novaehollandiae ENSDNVG00000008113
anser_brachyrhynchus ENSABRG00000002668
anas_platyrhynchos_platyrhynchos ENSAPLG00000005099
gallus_gallus ENSGALG00000042878
coturnix_japonica ENSCJPG00005018609
meleagris_gallopavo ENSMGAG00000005325
numida_meleagris ENSNMEG00000009395
melopsittacus_undulatus ENSMUNG00000004728
manacus_vitellinus ENSMVIG00005014162
lepidothrix_coronata ENSLCOG00000001942
taeniopygia_guttata ENSTGUG00000015915
lonchura_striata_domestica ENSLSDG00000008780
serinus_canaria ENSSCAG00000017227
zonotrichia_albicollis ENSZALG00000015736
junco_hyemalis ENSJHYG00000015592
ficedula_albicollis ENSFALG00000010656
cyanistes_caeruleus ENSCCEG00000009035
parus_major ENSPMJG00000008035
calidris_pygmaea ENSCPGG00000015015
calidris_pugnax ENSCPUG00000000215
crocodylus_porosus ENSCPRG00005006384
chelonoidis_abingdonii ENSCABG00000016090
gopherus_agassizii ENSGAGG00000024577
chrysemys_picta_bellii ENSCPBG00000016412
pelodiscus_sinensis ENSPSIG00000004720
pelodiscus_sinensis ENSPSIG00000004600
pogona_vitticeps ENSPVIG00000016492
notechis_scutatus ENSNSUG00000013225
salvator_merianae ENSSMRG00000000515
sphenodon_punctatus ENSSPUG00000002387
dasypus_novemcinctus ENSDNOG00000003272
choloepus_hoffmanni ENSCHOG00000006050
loxodonta_africana ENSLAFG00000028790
procavia_capensis ENSPCAG00000000540
echinops_telfairi ENSETEG00000011152
piliocolobus_tephrosceles ENSPTEG00000011262
colobus_angolensis_palliatus ENSCANG00000031408
rhinopithecus_roxellana ENSRROG00000045148
