mus_spicilegus ENSMSIG00000000396
meriones_unguiculatus ENSMUGG00000002505
cricetulus_griseus_crigri-picr ENSCGRG00015027301
peromyscus_maniculatus_bairdii ENSPEMG00000028429
castor_canadensis ENSCCNG00000013434
macaca_fascicularis ENSMFAG00000041316
piliocolobus_tephrosceles ENSPTEG00000013702
theropithecus_gelada ENSTGEG00000021610
gorilla_gorilla ENSGGOG00000036445
ursus_americanus ENSUAMG00000023043
ursus_maritimus ENSUMAG00000002287
neovison_vison ENSNVIG00000011357
panthera_pardus ENSPPRG00000004347
panthera_tigris_altaica ENSPTIG00000002787
felis_catus ENSFCAG00000036212
equus_asinus_asinus ENSEASG00005014691
equus_caballus ENSECAG00000036747
bos_mutus ENSBMUG00000002502
bos_mutus ENSBMUG00000023766
bos_taurus ENSBTAG00000036258
bison_bison_bison ENSBBBG00000019584
bison_bison_bison ENSBBBG00000005929
bos_taurus ENSBTAG00000051472
ovis_aries ENSOARG00000020298
sus_scrofa ENSSSCG00000037609
