monopterus_albus ENSMALG00000005112
mastacembelus_armatus ENSMAMG00000010496
labrus_bergylta ENSLBEG00000010897
labrus_bergylta ENSLBEG00000018562
mola_mola ENSMMOG00000015446
takifugu_rubripes ENSTRUG00000023596
periophthalmus_magnuspinnatus ENSPMGG00000013328
scophthalmus_maximus ENSSMAG00000013949
amphiprion_ocellaris ENSAOCG00000006651
acanthochromis_polyacanthus ENSAPOG00000008428
poecilia_latipinna ENSPLAG00000021821
poecilia_mexicana ENSPMEG00000015573
xiphophorus_couchianus ENSXCOG00000001927
gambusia_affinis ENSGAFG00000002959
cyprinodon_variegatus ENSCVAG00000018855
oryzias_melastigma ENSOMEG00000002358
neolamprologus_brichardi ENSNBRG00000000965
pundamilia_nyererei ENSPNYG00000003569
oreochromis_niloticus ENSONIG00000011406
amphilophus_citrinellus ENSACIG00000011050
hippocampus_comes ENSHCOG00000007336
