cricetulus_griseus_crigri ENSCGRG00000008170
cricetulus_griseus_chok1gshd ENSCGRG00001012558
cricetulus_griseus_crigri-picr ENSCGRG00015017932
mesocricetus_auratus ENSMAUG00000010826
peromyscus_maniculatus_bairdii ENSPEMG00000003858
microtus_ochrogaster ENSMOCG00000011085
meriones_unguiculatus ENSMUGG00000010111
urocitellus_parryii ENSUPAG00010004224
spermophilus_dauricus ENSSDAG00000020009
ictidomys_tridecemlineatus ENSSTOG00000006561
marmota_marmota_marmota ENSMMMG00000000110
saimiri_boliviensis_boliviensis ENSSBOG00000029633
saimiri_boliviensis_boliviensis ENSSBOG00000029107
cebus_capucinus ENSCCAG00000022408
callithrix_jacchus ENSCJAG00000041116
aotus_nancymaae ENSANAG00000036008
pongo_abelii ENSPPYG00000012004
aotus_nancymaae ENSANAG00000036446
aotus_nancymaae ENSANAG00000036480
cebus_capucinus ENSCCAG00000020647
macaca_nemestrina ENSMNEG00000044055
macaca_fascicularis ENSMFAG00000035502
mandrillus_leucophaeus ENSMLEG00000043676
mandrillus_leucophaeus ENSMLEG00000030001
macaca_nemestrina ENSMNEG00000034569
papio_anubis ENSPANG00000031143
theropithecus_gelada ENSTGEG00000028284
rhinopithecus_roxellana ENSRROG00000042944
rhinopithecus_roxellana ENSRROG00000044117
rhinopithecus_bieti ENSRBIG00000035156
piliocolobus_tephrosceles ENSPTEG00000027079
colobus_angolensis_palliatus ENSCANG00000035253
piliocolobus_tephrosceles ENSPTEG00000027039
colobus_angolensis_palliatus ENSCANG00000040953
pan_paniscus ENSPPAG00000020373
pan_troglodytes ENSPTRG00000044502
homo_sapiens ENSG00000276950
gorilla_gorilla ENSGGOG00000039443
nomascus_leucogenys ENSNLEG00000028681
gorilla_gorilla ENSGGOG00000042772
papio_anubis ENSPANG00000035538
theropithecus_gelada ENSTGEG00000028410
cercocebus_atys ENSCATG00000037260
macaca_mulatta ENSMMUG00000004556
macaca_fascicularis ENSMFAG00000033266
macaca_mulatta ENSMMUG00000045347
pongo_abelii ENSPPYG00000012040
callithrix_jacchus ENSCJAG00000047647
rhinopithecus_bieti ENSRBIG00000041889
rhinopithecus_bieti ENSRBIG00000043473
pteropus_vampyrus ENSPVAG00000001612
echinops_telfairi ENSETEG00000003549
loxodonta_africana ENSLAFG00000031593
oryctolagus_cuniculus ENSOCUG00000005064
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016264
mus_musculus ENSMUSG00000009093
mus_spicilegus ENSMSIG00000005311
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015451
mus_pahari MGP_PahariEiJ_G0030867
rattus_norvegicus ENSRNOG00000038300
nannospalax_galili ENSNGAG00000000101
jaculus_jaculus ENSJJAG00000000095
castor_canadensis ENSCCNG00000021780
castor_canadensis ENSCCNG00000012891
chinchilla_lanigera ENSCLAG00000008513
octodon_degus ENSODEG00000007090
cavia_porcellus ENSCPOG00000019914
fukomys_damarensis ENSFDAG00000009467
prolemur_simus ENSPSMG00000006430
microcebus_murinus ENSMICG00000045209
propithecus_coquereli ENSPCOG00000020684
prolemur_simus ENSPSMG00000006520
otolemur_garnettii ENSOGAG00000001972
carlito_syrichta ENSTSYG00000000105
dipodomys_ordii ENSDORG00000025436
ursus_maritimus ENSUMAG00000003276
ursus_americanus ENSUAMG00000010797
ailuropoda_melanoleuca ENSAMEG00000013786
neovison_vison ENSNVIG00000021358
vulpes_vulpes ENSVVUG00000019434
panthera_pardus ENSPPRG00000004852
panthera_tigris_altaica ENSPTIG00000009527
felis_catus ENSFCAG00000036794
equus_asinus_asinus ENSEASG00005000970
equus_caballus ENSECAG00000011771
bos_taurus ENSBTAG00000000170
bison_bison_bison ENSBBBG00000023132
capra_hircus ENSCHIG00000023425
ovis_aries ENSOARG00000013518
sus_scrofa ENSSSCG00000010065
pteropus_vampyrus ENSPVAG00000002573
myotis_lucifugus ENSMLUG00000007399
canis_lupus_familiaris ENSCAFG00000023584
canis_lupus_dingo ENSCAFG00020007461
erinaceus_europaeus ENSEEUG00000015453
tursiops_truncatus ENSTTRG00000002055
bos_mutus ENSBMUG00000022761
dasypus_novemcinctus ENSDNOG00000031006
procavia_capensis ENSPCAG00000001571
