saimiri_boliviensis_boliviensis ENSSBOG00000031305
callithrix_jacchus ENSCJAG00000045728
pan_paniscus ENSPPAG00000040897
pan_troglodytes ENSPTRG00000000332
gorilla_gorilla ENSGGOG00000023367
pongo_abelii ENSPPYG00000001737
nomascus_leucogenys ENSNLEG00000028539
rhinopithecus_bieti ENSRBIG00000038585
rhinopithecus_roxellana ENSRROG00000038512
colobus_angolensis_palliatus ENSCANG00000040281
papio_anubis ENSPANG00000034922
mandrillus_leucophaeus ENSMLEG00000030604
macaca_mulatta ENSMMUG00000047587
macaca_fascicularis ENSMFAG00000000148
macaca_nemestrina ENSMNEG00000039013
chlorocebus_sabaeus ENSCSAG00000000928
cercocebus_atys ENSCATG00000028499
theropithecus_gelada ENSTGEG00000004016
