rhinopithecus_roxellana ENSRROG00000044821
piliocolobus_tephrosceles ENSPTEG00000016437
macaca_fascicularis ENSMFAG00000039643
macaca_mulatta ENSMMUG00000028958
papio_anubis ENSPANG00000031511
papio_anubis ENSPANG00000019168
papio_anubis ENSPANG00000011887
chlorocebus_sabaeus ENSCSAG00000018583
pongo_abelii ENSPPYG00000020046
pongo_abelii ENSPPYG00000018716
pongo_abelii ENSPPYG00000018720
gorilla_gorilla ENSGGOG00000039626
gorilla_gorilla ENSGGOG00000043426
gorilla_gorilla ENSGGOG00000038643
gorilla_gorilla ENSGGOG00000040308
gorilla_gorilla ENSGGOG00000036670
pan_troglodytes ENSPTRG00000051973
pan_troglodytes ENSPTRG00000046711
pan_troglodytes ENSPTRG00000052661
pan_troglodytes ENSPTRG00000052743
pan_troglodytes ENSPTRG00000046487
pan_troglodytes ENSPTRG00000044570
pan_troglodytes ENSPTRG00000050438
pan_troglodytes ENSPTRG00000044454
pan_troglodytes ENSPTRG00000052469
pan_troglodytes ENSPTRG00000047711
pan_troglodytes ENSPTRG00000046990
pan_troglodytes ENSPTRG00000047278
pan_troglodytes ENSPTRG00000052243
pan_troglodytes ENSPTRG00000043130
nomascus_leucogenys ENSNLEG00000028224
nomascus_leucogenys ENSNLEG00000032158
nomascus_leucogenys ENSNLEG00000034353
nomascus_leucogenys ENSNLEG00000032573
nomascus_leucogenys ENSNLEG00000032530
nomascus_leucogenys ENSNLEG00000030709
nomascus_leucogenys ENSNLEG00000033265
