cavia_aperea ENSCAPG00000007490
heterocephalus_glaber_male ENSHGLG00100007658
cricetulus_griseus_crigri ENSCGRG00000002636
cricetulus_griseus_crigri-picr ENSCGRG00015015041
ictidomys_tridecemlineatus ENSSTOG00000030953
canis_lupus_dingo ENSCAFG00020012807
ornithorhynchus_anatinus ENSOANG00000010111
nothoprocta_perdicaria ENSNPEG00000011646
lepidothrix_coronata ENSLCOG00000000588
chelonoidis_abingdonii ENSCABG00000000956
sphenodon_punctatus ENSSPUG00000010110
paramormyrops_kingsleyae ENSPKIG00000013576
