anas_platyrhynchos_platyrhynchos ENSAPLG00000027720
anser_brachyrhynchus ENSABRG00000000116
meleagris_gallopavo ENSMGAG00000008062
coturnix_japonica ENSCJPG00005015057
gallus_gallus ENSGALG00000023472
calidris_pygmaea ENSCPGG00000018353
calidris_pugnax ENSCPUG00000010436
melopsittacus_undulatus ENSMUNG00000001997
lepidothrix_coronata ENSLCOG00000012381
manacus_vitellinus ENSMVIG00005013423
ficedula_albicollis ENSFALG00000003150
parus_major ENSPMJG00000013812
lonchura_striata_domestica ENSLSDG00000005486
junco_hyemalis ENSJHYG00000005487
serinus_canaria ENSSCAG00000007731
cyanistes_caeruleus ENSCCEG00000004417
apteryx_owenii ENSAOWG00000006931
apteryx_haastii ENSAHAG00000009697
apteryx_rowi ENSARWG00000005894
nothoprocta_perdicaria ENSNPEG00000002131
crocodylus_porosus ENSCPRG00005007793
gopherus_agassizii ENSGAGG00000003357
chelonoidis_abingdonii ENSCABG00000005524
chrysemys_picta_bellii ENSCPBG00000013637
pelodiscus_sinensis ENSPSIG00000017926
pogona_vitticeps ENSPVIG00000011704
anolis_carolinensis ENSACAG00000017162
notechis_scutatus ENSNSUG00000020440
salvator_merianae ENSSMRG00000007082
sphenodon_punctatus ENSSPUG00000006860
dipodomys_ordii ENSDORG00000025066
castor_canadensis ENSCCNG00000019128
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032796
mus_musculus ENSMUSG00000000739
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031678
mus_spicilegus ENSMSIG00000014571
mus_pahari MGP_PahariEiJ_G0023276
rattus_norvegicus ENSRNOG00000015695
meriones_unguiculatus ENSMUGG00000010534
cricetulus_griseus_chok1gshd ENSCGRG00001017454
cricetulus_griseus_crigri-picr ENSCGRG00015020287
cricetulus_griseus_crigri ENSCGRG00000013570
mesocricetus_auratus ENSMAUG00000008375
microtus_ochrogaster ENSMOCG00000018322
peromyscus_maniculatus_bairdii ENSPEMG00000007963
nannospalax_galili ENSNGAG00000022110
cavia_aperea ENSCAPG00000012822
cavia_porcellus ENSCPOG00000021466
chinchilla_lanigera ENSCLAG00000000200
fukomys_damarensis ENSFDAG00000014955
octodon_degus ENSODEG00000004875
oryctolagus_cuniculus ENSOCUG00000026191
sarcophilus_harrisii ENSSHAG00000000678
phascolarctos_cinereus ENSPCIG00000024742
monodelphis_domestica ENSMODG00000003571
monodelphis_domestica ENSMODG00000003555
monodelphis_domestica ENSMODG00000005545
monodelphis_domestica ENSMODG00000005203
phascolarctos_cinereus ENSPCIG00000035926
ornithorhynchus_anatinus ENSOANG00000004831
latimeria_chalumnae ENSLACG00000001899
xenopus_tropicalis ENSXETG00000019839
anabas_testudineus ENSATEG00000011268
monopterus_albus ENSMALG00000017065
scophthalmus_maximus ENSSMAG00000021356
cynoglossus_semilaevis ENSCSEG00000001405
seriola_lalandi_dorsalis ENSSLDG00000021569
seriola_dumerili ENSSDUG00000007303
labrus_bergylta ENSLBEG00000011746
labrus_bergylta ENSLBEG00000002974
mastacembelus_armatus ENSMAMG00000001721
mastacembelus_armatus ENSMAMG00000001706
takifugu_rubripes ENSTRUG00000017259
tetraodon_nigroviridis ENSTNIG00000005755
mola_mola ENSMMOG00000017680
gasterosteus_aculeatus ENSGACG00000015459
amphiprion_ocellaris ENSAOCG00000005370
amphiprion_percula ENSAPEG00000018997
acanthochromis_polyacanthus ENSAPOG00000000035
stegastes_partitus ENSSPAG00000007447
pundamilia_nyererei ENSPNYG00000005121
maylandia_zebra ENSMZEG00005002012
astatotilapia_calliptera ENSACLG00000025344
haplochromis_burtoni ENSHBUG00000023578
neolamprologus_brichardi ENSNBRG00000016836
oreochromis_niloticus ENSONIG00000003011
amphilophus_citrinellus ENSACIG00000005107
xiphophorus_couchianus ENSXCOG00000003299
xiphophorus_maculatus ENSXMAG00000018343
gambusia_affinis ENSGAFG00000012684
poecilia_mexicana ENSPMEG00000023365
poecilia_latipinna ENSPLAG00000018779
poecilia_formosa ENSPFOG00000005192
poecilia_reticulata ENSPREG00000022629
fundulus_heteroclitus ENSFHEG00000018766
cyprinodon_variegatus ENSCVAG00000015832
kryptolebias_marmoratus ENSKMAG00000001555
oryzias_latipes ENSORLG00020014491
oryzias_latipes_asm223469v1 ENSORLG00015013098
oryzias_latipes ENSORLG00000005774
oryzias_melastigma ENSOMEG00000018398
hippocampus_comes ENSHCOG00000004854
esox_lucius ENSELUG00000001375
pygocentrus_nattereri ENSPNAG00000002247
astyanax_mexicanus ENSAMXG00000031124
ictalurus_punctatus ENSIPUG00000011497
danio_rerio ENSDARG00000007769
scleropages_formosus ENSSFOG00015015533
paramormyrops_kingsleyae ENSPKIG00000008973
lepisosteus_oculatus ENSLOCG00000004402
eptatretus_burgeri ENSEBUG00000010786
