poecilia_formosa ENSPFOG00000010516
poecilia_latipinna ENSPLAG00000002227
poecilia_mexicana ENSPMEG00000008451
poecilia_reticulata ENSPREG00000012275
xiphophorus_couchianus ENSXCOG00000005124
gambusia_affinis ENSGAFG00000001600
cyprinodon_variegatus ENSCVAG00000004086
kryptolebias_marmoratus ENSKMAG00000002803
oryzias_melastigma ENSOMEG00000018473
amphiprion_ocellaris ENSAOCG00000017570
amphiprion_percula ENSAPEG00000018120
acanthochromis_polyacanthus ENSAPOG00000022302
periophthalmus_magnuspinnatus ENSPMGG00000003386
hippocampus_comes ENSHCOG00000004493
gadus_morhua ENSGMOG00000013816
esox_lucius ENSELUG00000008400
danio_rerio ENSDARG00000103759
scleropages_formosus ENSSFOG00015019987
nothoprocta_perdicaria ENSNPEG00000004090
dromaius_novaehollandiae ENSDNVG00000003417
cyanistes_caeruleus ENSCCEG00000012186
parus_major ENSPMJG00000015584
ficedula_albicollis ENSFALG00000000088
taeniopygia_guttata ENSTGUG00000013905
junco_hyemalis ENSJHYG00000008479
ciona_intestinalis ENSCING00000012146
ciona_savignyi ENSCSAVG00000001869
drosophila_melanogaster FBgn0038924
drosophila_melanogaster FBgn0036346
