gorilla_gorilla ENSGGOG00000036151
pan_troglodytes ENSPTRG00000043367
rhinopithecus_bieti ENSRBIG00000020232
rhinopithecus_roxellana ENSRROG00000014416
macaca_mulatta ENSMMUG00000044570
macaca_fascicularis ENSMFAG00000027784
macaca_nemestrina ENSMNEG00000006407
papio_anubis ENSPANG00000031988
cercocebus_atys ENSCATG00000017694
mandrillus_leucophaeus ENSMLEG00000028423
theropithecus_gelada ENSTGEG00000001006
colobus_angolensis_palliatus ENSCANG00000038179
piliocolobus_tephrosceles ENSPTEG00000010422
nomascus_leucogenys ENSNLEG00000034860
cebus_capucinus ENSCCAG00000033468
callithrix_jacchus ENSCJAG00000039767
aotus_nancymaae ENSANAG00000031656
pan_paniscus ENSPPAG00000025415
propithecus_coquereli ENSPCOG00000017641
prolemur_simus ENSPSMG00000014283
urocitellus_parryii ENSUPAG00010019615
spermophilus_dauricus ENSSDAG00000005555
panthera_tigris_altaica ENSPTIG00000019241
panthera_pardus ENSPPRG00000014457
felis_catus ENSFCAG00000036475
