panthera_pardus ENSPPRG00000015455
panthera_tigris_altaica ENSPTIG00000006478
felis_catus ENSFCAG00000035214
equus_caballus ENSECAG00000030400
rhinopithecus_roxellana ENSRROG00000031076
rhinopithecus_bieti ENSRBIG00000040758
piliocolobus_tephrosceles ENSPTEG00000014969
piliocolobus_tephrosceles ENSPTEG00000027227
theropithecus_gelada ENSTGEG00000002371
colobus_angolensis_palliatus ENSCANG00000019000
piliocolobus_tephrosceles ENSPTEG00000018887
rhinopithecus_roxellana ENSRROG00000023512
macaca_fascicularis ENSMFAG00000030323
papio_anubis ENSPANG00000033681
mandrillus_leucophaeus ENSMLEG00000010104
theropithecus_gelada ENSTGEG00000028183
gorilla_gorilla ENSGGOG00000042626
pan_troglodytes ENSPTRG00000051196
nomascus_leucogenys ENSNLEG00000029079
pan_paniscus ENSPPAG00000021403
pan_troglodytes ENSPTRG00000046899
nomascus_leucogenys ENSNLEG00000030730
cebus_capucinus ENSCCAG00000020061
callithrix_jacchus ENSCJAG00000041769
aotus_nancymaae ENSANAG00000031683
microcebus_murinus ENSMICG00000045283
propithecus_coquereli ENSPCOG00000025228
castor_canadensis ENSCCNG00000025526
peromyscus_maniculatus_bairdii ENSPEMG00000030170
