pan_troglodytes ENSPTRG00000051903
pan_paniscus ENSPPAG00000028065
gorilla_gorilla ENSGGOG00000037981
nomascus_leucogenys ENSNLEG00000032578
rhinopithecus_bieti ENSRBIG00000041586
rhinopithecus_roxellana ENSRROG00000008518
colobus_angolensis ENSCANG00000029617
macaca_nemestrina ENSMNEG00000027094
macaca_fascicularis ENSMFAG00000030428
theropithecus_gelada ENSTGEG00000009577
saimiri_boliviensis ENSSBOG00000034512
cebus_capucinus ENSCCAG00000030549
cricetulus_griseus ENSCGRG00015017384
peromyscus_maniculatus ENSPEMG00000030771
vulpes_vulpes ENSVVUG00000012101
canis_lupus ENSCAFG00000049123
lepidothrix_coronata ENSLCOG00000011644
