equus_asinus_asinus ENSEASG00005019594
equus_caballus ENSECAG00000028791
canis_lupus_dingo ENSCAFG00020020219
pteropus_vampyrus ENSPVAG00000015442
neovison_vison ENSNVIG00000024067
ailuropoda_melanoleuca ENSAMEG00000003164
panthera_pardus ENSPPRG00000021909
felis_catus ENSFCAG00000042755
capra_hircus ENSCHIG00000010005
ovis_aries ENSOARG00000015065
bos_taurus ENSBTAG00000047247
bison_bison_bison ENSBBBG00000004213
sus_scrofa ENSSSCG00000035935
urocitellus_parryii ENSUPAG00010008949
ictidomys_tridecemlineatus ENSSTOG00000004963
castor_canadensis ENSCCNG00000010252
mus_spicilegus ENSMSIG00000024688
mus_musculus ENSMUSG00000046999
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026003
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025061
mus_pahari MGP_PahariEiJ_G0026504
rattus_norvegicus ENSRNOG00000009803
meriones_unguiculatus ENSMUGG00000022519
cricetulus_griseus_chok1gshd ENSCGRG00001003309
cricetulus_griseus_crigri-picr ENSCGRG00015023401
peromyscus_maniculatus_bairdii ENSPEMG00000029770
microtus_ochrogaster ENSMOCG00000008342
nannospalax_galili ENSNGAG00000011782
jaculus_jaculus ENSJJAG00000010657
heterocephalus_glaber_male ENSHGLG00100020039
heterocephalus_glaber_female ENSHGLG00000020916
oryctolagus_cuniculus ENSOCUG00000024860
homo_sapiens ENSG00000180044
gorilla_gorilla ENSGGOG00000043723
pan_paniscus ENSPPAG00000028260
pan_troglodytes ENSPTRG00000051547
pongo_abelii ENSPPYG00000014254
nomascus_leucogenys ENSNLEG00000034275
rhinopithecus_roxellana ENSRROG00000001250
rhinopithecus_bieti ENSRBIG00000030812
piliocolobus_tephrosceles ENSPTEG00000019939
macaca_mulatta ENSMMUG00000031557
macaca_fascicularis ENSMFAG00000009891
macaca_nemestrina ENSMNEG00000009440
chlorocebus_sabaeus ENSCSAG00000018894
theropithecus_gelada ENSTGEG00000001747
cercocebus_atys ENSCATG00000016242
callithrix_jacchus ENSCJAG00000043385
cebus_capucinus ENSCCAG00000019682
aotus_nancymaae ENSANAG00000016866
prolemur_simus ENSPSMG00000010933
propithecus_coquereli ENSPCOG00000026690
microcebus_murinus ENSMICG00000049375
dasypus_novemcinctus ENSDNOG00000045052
octodon_degus ENSODEG00000004587
monodelphis_domestica ENSMODG00000016570
chelonoidis_abingdonii ENSCABG00000019753
gopherus_agassizii ENSGAGG00000002483
chrysemys_picta_bellii ENSCPBG00000005344
pogona_vitticeps ENSPVIG00000020433
notechis_scutatus ENSNSUG00000000791
salvator_merianae ENSSMRG00000000610
