monodelphis_domestica ENSMODG00000023260
sarcophilus_harrisii ENSSHAG00000005297
equus_asinus_asinus ENSEASG00005023225
equus_caballus ENSECAG00000004743
myotis_lucifugus ENSMLUG00000017393
ursus_americanus ENSUAMG00000013237
ailuropoda_melanoleuca ENSAMEG00000012410
mustela_putorius_furo ENSMPUG00000020174
canis_lupus_familiaris ENSCAFG00000012333
vulpes_vulpes ENSVVUG00000016077
felis_catus ENSFCAG00000031527
panthera_pardus ENSPPRG00000017666
capra_hircus ENSCHIG00000012459
ovis_aries ENSOARG00000004792
bos_taurus ENSBTAG00000027397
bos_mutus ENSBMUG00000019122
bison_bison_bison ENSBBBG00000023860
sus_scrofa ENSSSCG00000007530
heterocephalus_glaber_female ENSHGLG00000021119
heterocephalus_glaber_male ENSHGLG00100018313
octodon_degus ENSODEG00000004216
urocitellus_parryii ENSUPAG00010003460
ictidomys_tridecemlineatus ENSSTOG00000027059
marmota_marmota_marmota ENSMMMG00000004802
spermophilus_dauricus ENSSDAG00000003783
microtus_ochrogaster ENSMOCG00000009566
peromyscus_maniculatus_bairdii ENSPEMG00000013652
cricetulus_griseus_crigri-picr ENSCGRG00015015169
cricetulus_griseus_chok1gshd ENSCGRG00001005943
mesocricetus_auratus ENSMAUG00000008145
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025688
mus_spicilegus ENSMSIG00000015432
mus_musculus ENSMUSG00000049999
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024767
mus_pahari MGP_PahariEiJ_G0026209
rattus_norvegicus ENSRNOG00000053869
meriones_unguiculatus ENSMUGG00000021337
nannospalax_galili ENSNGAG00000001530
homo_sapiens ENSG00000132825
pan_troglodytes ENSPTRG00000049506
pongo_abelii ENSPPYG00000011187
nomascus_leucogenys ENSNLEG00000018277
cercocebus_atys ENSCATG00000018767
chlorocebus_sabaeus ENSCSAG00000018738
mandrillus_leucophaeus ENSMLEG00000027435
macaca_fascicularis ENSMFAG00000037038
macaca_mulatta ENSMMUG00000019469
macaca_nemestrina ENSMNEG00000005403
theropithecus_gelada ENSTGEG00000010885
papio_anubis ENSPANG00000018275
piliocolobus_tephrosceles ENSPTEG00000005741
colobus_angolensis_palliatus ENSCANG00000032385
rhinopithecus_bieti ENSRBIG00000036272
rhinopithecus_roxellana ENSRROG00000041886
callithrix_jacchus ENSCJAG00000018830
prolemur_simus ENSPSMG00000000657
otolemur_garnettii ENSOGAG00000025179
loxodonta_africana ENSLAFG00000015813
procavia_capensis ENSPCAG00000010726
echinops_telfairi ENSETEG00000004059
dasypus_novemcinctus ENSDNOG00000018122
ornithorhynchus_anatinus ENSOANG00000009285
anolis_carolinensis ENSACAG00000003895
pogona_vitticeps ENSPVIG00000014276
salvator_merianae ENSSMRG00000012586
notechis_scutatus ENSNSUG00000014154
sphenodon_punctatus ENSSPUG00000000408
chelonoidis_abingdonii ENSCABG00000013200
gopherus_agassizii ENSGAGG00000022777
chrysemys_picta_bellii ENSCPBG00000027047
pelodiscus_sinensis ENSPSIG00000000043
meleagris_gallopavo ENSMGAG00000005191
coturnix_japonica ENSCJPG00005002953
gallus_gallus ENSGALG00000021220
numida_meleagris ENSNMEG00000015979
anas_platyrhynchos_platyrhynchos ENSAPLG00000014074
anser_brachyrhynchus ENSABRG00000000254
calidris_pugnax ENSCPUG00000008519
calidris_pygmaea ENSCPGG00000006287
melopsittacus_undulatus ENSMUNG00000011219
lepidothrix_coronata ENSLCOG00000007514
manacus_vitellinus ENSMVIG00005004155
parus_major ENSPMJG00000008770
cyanistes_caeruleus ENSCCEG00000007129
serinus_canaria ENSSCAG00000015274
taeniopygia_guttata ENSTGUG00000007983
lonchura_striata_domestica ENSLSDG00000004803
ficedula_albicollis ENSFALG00000015015
