ursus_maritimus ENSUMAG00000019195
neovison_vison ENSNVIG00000008612
canis_lupus_familiaris ENSCAFG00000002996
canis_lupus_dingo ENSCAFG00020022557
vulpes_vulpes ENSVVUG00000001589
panthera_tigris_altaica ENSPTIG00000018842
panthera_pardus ENSPPRG00000014067
felis_catus ENSFCAG00000027153
tursiops_truncatus ENSTTRG00000005856
bos_mutus ENSBMUG00000006802
sus_scrofa ENSSSCG00000037744
vicugna_pacos ENSVPAG00000007057
equus_caballus ENSECAG00000000117
equus_asinus_asinus ENSEASG00005000872
pteropus_vampyrus ENSPVAG00000011130
erinaceus_europaeus ENSEEUG00000002948
sorex_araneus ENSSARG00000005795
colobus_angolensis_palliatus ENSCANG00000042027
piliocolobus_tephrosceles ENSPTEG00000032100
rhinopithecus_roxellana ENSRROG00000035757
rhinopithecus_bieti ENSRBIG00000034742
papio_anubis ENSPANG00000025743
theropithecus_gelada ENSTGEG00000028738
mandrillus_leucophaeus ENSMLEG00000032819
cercocebus_atys ENSCATG00000008609
macaca_fascicularis ENSMFAG00000031397
macaca_mulatta ENSMMUG00000012745
macaca_nemestrina ENSMNEG00000036887
chlorocebus_sabaeus ENSCSAG00000012168
pan_troglodytes ENSPTRG00000021253
pan_paniscus ENSPPAG00000041938
gorilla_gorilla ENSGGOG00000011455
homo_sapiens ENSG00000173258
pongo_abelii ENSPPYG00000019498
nomascus_leucogenys ENSNLEG00000017483
cebus_capucinus ENSCCAG00000037931
saimiri_boliviensis_boliviensis ENSSBOG00000017749
callithrix_jacchus ENSCJAG00000017561
aotus_nancymaae ENSANAG00000030408
carlito_syrichta ENSTSYG00000011722
propithecus_coquereli ENSPCOG00000023061
prolemur_simus ENSPSMG00000009067
otolemur_garnettii ENSOGAG00000011399
tupaia_belangeri ENSTBEG00000001841
tupaia_belangeri ENSTBEG00000012003
chinchilla_lanigera ENSCLAG00000009553
octodon_degus ENSODEG00000000192
cavia_porcellus ENSCPOG00000004672
heterocephalus_glaber_male ENSHGLG00100002665
heterocephalus_glaber_female ENSHGLG00000014693
ictidomys_tridecemlineatus ENSSTOG00000009473
urocitellus_parryii ENSUPAG00010009412
spermophilus_dauricus ENSSDAG00000014198
marmota_marmota_marmota ENSMMMG00000002418
castor_canadensis ENSCCNG00000001209
dipodomys_ordii ENSDORG00000015480
mus_spicilegus ENSMSIG00000020138
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027020
mus_musculus ENSMUSG00000038630
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026055
mus_pahari MGP_PahariEiJ_G0028393
rattus_norvegicus ENSRNOG00000014975
meriones_unguiculatus ENSMUGG00000000750
cricetulus_griseus_crigri-picr ENSCGRG00015027172
cricetulus_griseus_crigri ENSCGRG00000000974
cricetulus_griseus_chok1gshd ENSCGRG00001006142
mesocricetus_auratus ENSMAUG00000003269
microtus_ochrogaster ENSMOCG00000019107
peromyscus_maniculatus_bairdii ENSPEMG00000013898
nannospalax_galili ENSNGAG00000024033
jaculus_jaculus ENSJJAG00000023875
oryctolagus_cuniculus ENSOCUG00000004283
ochotona_princeps ENSOPRG00000016119
choloepus_hoffmanni ENSCHOG00000008717
procavia_capensis ENSPCAG00000003185
