oryctolagus_cuniculus ENSOCUG00000008989
ochotona_princeps ENSOPRG00000005707
chinchilla_lanigera ENSCLAG00000002462
gorilla_gorilla ENSGGOG00000016663
homo_sapiens ENSG00000177627
pongo_abelii ENSPPYG00000004460
rhinopithecus_roxellana ENSRROG00000040880
rhinopithecus_bieti ENSRBIG00000039534
colobus_angolensis_palliatus ENSCANG00000030871
macaca_mulatta ENSMMUG00000048875
macaca_fascicularis ENSMFAG00000031362
macaca_nemestrina ENSMNEG00000038960
mandrillus_leucophaeus ENSMLEG00000013602
cercocebus_atys ENSCATG00000034097
papio_anubis ENSPANG00000008134
theropithecus_gelada ENSTGEG00000025113
chlorocebus_sabaeus ENSCSAG00000006273
saimiri_boliviensis_boliviensis ENSSBOG00000027705
cebus_capucinus ENSCCAG00000037784
callithrix_jacchus ENSCJAG00000020725
aotus_nancymaae ENSANAG00000035791
carlito_syrichta ENSTSYG00000011094
microcebus_murinus ENSMICG00000044033
prolemur_simus ENSPSMG00000006313
propithecus_coquereli ENSPCOG00000019382
otolemur_garnettii ENSOGAG00000005674
tupaia_belangeri ENSTBEG00000009500
capra_hircus ENSCHIG00000026745
ovis_aries ENSOARG00000019273
bos_mutus ENSBMUG00000002365
bos_taurus ENSBTAG00000016996
bison_bison_bison ENSBBBG00000005721
vicugna_pacos ENSVPAG00000004477
neovison_vison ENSNVIG00000002500
vulpes_vulpes ENSVVUG00000019545
ailuropoda_melanoleuca ENSAMEG00000006120
panthera_pardus ENSPPRG00000008760
panthera_tigris_altaica ENSPTIG00000015156
pteropus_vampyrus ENSPVAG00000009656
equus_caballus ENSECAG00000039802
erinaceus_europaeus ENSEEUG00000010277
echinops_telfairi ENSETEG00000011333
procavia_capensis ENSPCAG00000010033
choloepus_hoffmanni ENSCHOG00000012145
