bos_taurus ENSBTAG00000051415
bison_bison ENSBBBG00000000956
bos_mutus ENSBMUG00000000428
sus_scrofa ENSSSCG00000038347
equus_caballus ENSECAG00000039305
equus_asinus ENSEASG00005014780
canis_lupus ENSCAFG00020023462
vulpes_vulpes ENSVVUG00000012846
ursus_maritimus ENSUMAG00000017548
neovison_vison ENSNVIG00000022805
panthera_tigris ENSPTIG00000006451
panthera_pardus ENSPPRG00000019636
felis_catus ENSFCAG00000035872
theropithecus_gelada ENSTGEG00000023547
piliocolobus_tephrosceles ENSPTEG00000032962
microcebus_murinus ENSMICG00000044295
peromyscus_maniculatus ENSPEMG00000030378
cricetulus_griseus ENSCGRG00015026861
castor_canadensis ENSCCNG00000019217
spermophilus_dauricus ENSSDAG00000014449
