coturnix_japonica ENSCJPG00005000029
meleagris_gallopavo ENSMGAG00000017501
gallus_gallus ENSGALG00000036229
numida_meleagris ENSNMEG00000000029
melopsittacus_undulatus ENSMUNG00000000029
parus_major ENSPMJG00000000029
ficedula_albicollis ENSFALG00000016257
lonchura_striata_domestica ENSLSDG00000000029
taeniopygia_guttata ENSTGUG00000018759
crocodylus_porosus ENSCPRG00005000029
pelodiscus_sinensis ENSPSIG00000019318
chrysemys_picta_bellii ENSCPBG00000000029
anolis_carolinensis ENSACAG00000028237
tetraodon_nigroviridis ENSTNIG00000001739
takifugu_rubripes ENSTRUG00000018682
gasterosteus_aculeatus ENSGACG00000020947
neolamprologus_brichardi ENSNBRG00000000029
maylandia_zebra ENSMZEG00005000029
amphiprion_ocellaris ENSAOCG00000000029
seriola_lalandi_dorsalis ENSSLDG00000000029
seriola_dumerili ENSSDUG00000000029
cyprinodon_variegatus ENSCVAG00000000029
fundulus_heteroclitus ENSFHEG00000000029
poecilia_reticulata ENSPREG00000000029
xiphophorus_maculatus ENSXMAG00000020808
oryzias_latipes ENSORLG00000021775
kryptolebias_marmoratus ENSKMAG00000000029
cynoglossus_semilaevis ENSCSEG00000000029
monopterus_albus ENSMALG00000000029
hippocampus_comes ENSHCOG00000000029
esox_lucius ENSELUG00000000029
pygocentrus_nattereri ENSPNAG00000000029
ictalurus_punctatus ENSIPUG00000000029
danio_rerio ENSDARG00000063917
scleropages_formosus ENSSFOG00015000029
lepisosteus_oculatus ENSLOCG00000020993
latimeria_chalumnae ENSLACG00000022083
xenopus_tropicalis ENSXETG00000034383
rattus_norvegicus ENSRNOG00000029707
mus_musculus ENSMUSG00000064363
meriones_unguiculatus ENSMUGG00000000029
cricetulus_griseus_chok1gshd ENSCGRG00001000028
cricetulus_griseus_crigri ENSCGRG00000000028
mesocricetus_auratus ENSMAUG00000000028
microtus_ochrogaster ENSMOCG00000000028
jaculus_jaculus ENSJJAG00000000028
chinchilla_lanigera ENSCLAG00000000028
cavia_porcellus ENSCPOG00000017425
heterocephalus_glaber_male ENSHGLG00100000028
heterocephalus_glaber_female ENSHGLG00000000028
fukomys_damarensis ENSFDAG00000000028
capra_hircus ENSCHIG00000000028
ovis_aries ENSOARG00000000028
bos_mutus ENSBMUG00000000029
bos_taurus ENSBTAG00000043577
bison_bison_bison ENSBBBG00000000029
tursiops_truncatus ENSTTRG00000025402
sus_scrofa ENSSSCG00000018087
vicugna_pacos ENSVPAG00000018155
ailuropoda_melanoleuca ENSAMEG00000023448
ursus_maritimus ENSUMAG00000000028
neovison_vison ENSNVIG00000023115
canis_lupus_familiaris ENSCAFG00000022735
panthera_pardus ENSPPRG00000000028
felis_catus ENSFCAG00000032070
equus_caballus ENSECAG00000027675
propithecus_coquereli ENSPCOG00000000028
microcebus_murinus ENSMICG00000032407
ictidomys_tridecemlineatus ENSSTOG00000032015
macaca_mulatta ENSMMUG00000028677
macaca_fascicularis ENSMFAG00000046424
mandrillus_leucophaeus ENSMLEG00000000028
chlorocebus_sabaeus ENSCSAG00000000028
rhinopithecus_bieti ENSRBIG00000000028
rhinopithecus_roxellana ENSRROG00000000028
pan_paniscus ENSPPAG00000000028
pan_troglodytes ENSPTRG00000042639
homo_sapiens ENSG00000198886
gorilla_gorilla ENSGGOG00000025053
pongo_abelii ENSPPYG00000020967
saimiri_boliviensis_boliviensis ENSSBOG00000000028
carlito_syrichta ENSTSYG00000025384
tupaia_belangeri ENSTBEG00000021337
ochotona_princeps ENSOPRG00000024316
oryctolagus_cuniculus ENSOCUG00000029108
dasypus_novemcinctus ENSDNOG00000036640
echinops_telfairi ENSETEG00000026981
loxodonta_africana ENSLAFG00000033296
procavia_capensis ENSPCAG00000020703
erinaceus_europaeus ENSEEUG00000023944
sarcophilus_harrisii ENSSHAG00000020447
monodelphis_domestica ENSMODG00000021584
phascolarctos_cinereus ENSPCIG00000033953
ornithorhynchus_anatinus ENSOANG00000019366
petromyzon_marinus ENSPMAG00000013107
drosophila_melanogaster FBgn0262952
ciona_savignyi ENSCSAVG00000012514
ciona_intestinalis ENSCING00000025218
caenorhabditis_elegans_strain_n2 WBGene00010963
