ailuropoda_melanoleuca ENSAMEG00000010716
ursus_maritimus ENSUMAG00000012752
panthera_pardus ENSPPRG00000016331
felis_catus ENSFCAG00000044561
equus_caballus ENSECAG00000036645
pteropus_vampyrus ENSPVAG00000012988
myotis_lucifugus ENSMLUG00000004593
capra_hircus ENSCHIG00000011612
ovis_aries ENSOARG00000018839
bos_taurus ENSBTAG00000050840
sus_scrofa ENSSSCG00000027852
erinaceus_europaeus ENSEEUG00000005527
bison_bison_bison ENSBBBG00000011053
neovison_vison ENSNVIG00000012769
nomascus_leucogenys ENSNLEG00000028941
pan_troglodytes ENSPTRG00000044223
colobus_angolensis_palliatus ENSCANG00000008354
rhinopithecus_roxellana ENSRROG00000041778
piliocolobus_tephrosceles ENSPTEG00000027572
saimiri_boliviensis_boliviensis ENSSBOG00000022788
propithecus_coquereli ENSPCOG00000015613
oryctolagus_cuniculus ENSOCUG00000010938
marmota_marmota_marmota ENSMMMG00000011430
spermophilus_dauricus ENSSDAG00000019200
cricetulus_griseus_chok1gshd ENSCGRG00001010529
cricetulus_griseus_crigri ENSCGRG00000005726
microtus_ochrogaster ENSMOCG00000015634
peromyscus_maniculatus_bairdii ENSPEMG00000016208
mus_spicilegus ENSMSIG00000001718
mus_musculus ENSMUSG00000043313
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023085
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022175
mus_pahari MGP_PahariEiJ_G0018909
rattus_norvegicus ENSRNOG00000039469
meriones_unguiculatus ENSMUGG00000024152
heterocephalus_glaber_female ENSHGLG00000015342
cavia_porcellus ENSCPOG00000001688
dipodomys_ordii ENSDORG00000029764
homo_sapiens ENSG00000120328
pan_paniscus ENSPPAG00000034985
gorilla_gorilla ENSGGOG00000008290
pongo_abelii ENSPPYG00000015880
chlorocebus_sabaeus ENSCSAG00000012510
macaca_fascicularis ENSMFAG00000003451
rhinopithecus_bieti ENSRBIG00000038008
callithrix_jacchus ENSCJAG00000044750
aotus_nancymaae ENSANAG00000027384
piliocolobus_tephrosceles ENSPTEG00000027594
rhinopithecus_bieti ENSRBIG00000038960
theropithecus_gelada ENSTGEG00000026639
gorilla_gorilla ENSGGOG00000036260
homo_sapiens ENSG00000197479
pan_troglodytes ENSPTRG00000050672
pongo_abelii ENSPPYG00000015879
loxodonta_africana ENSLAFG00000001302
procavia_capensis ENSPCAG00000004883
choloepus_hoffmanni ENSCHOG00000001270
