fundulus_heteroclitus ENSFHEG00000002886
cyprinodon_variegatus ENSCVAG00000011810
poecilia_latipinna ENSPLAG00000023071
poecilia_latipinna ENSPLAG00000023079
poecilia_formosa ENSPFOG00000011503
poecilia_mexicana ENSPMEG00000003208
poecilia_reticulata ENSPREG00000016244
xiphophorus_maculatus ENSXMAG00000009722
xiphophorus_couchianus ENSXCOG00000001962
gambusia_affinis ENSGAFG00000001329
kryptolebias_marmoratus ENSKMAG00000018322
oryzias_latipes_asm223469v1 ENSORLG00015018116
oryzias_latipes ENSORLG00000002973
oryzias_latipes ENSORLG00020018081
oryzias_melastigma ENSOMEG00000019746
amphiprion_percula ENSAPEG00000010809
amphiprion_percula ENSAPEG00000010803
amphiprion_ocellaris ENSAOCG00000008575
acanthochromis_polyacanthus ENSAPOG00000022716
stegastes_partitus ENSSPAG00000009367
maylandia_zebra ENSMZEG00005003925
astatotilapia_calliptera ENSACLG00000015386
haplochromis_burtoni ENSHBUG00000011750
pundamilia_nyererei ENSPNYG00000015864
oreochromis_niloticus ENSONIG00000005225
neolamprologus_brichardi ENSNBRG00000003636
amphilophus_citrinellus ENSACIG00000021810
kryptolebias_marmoratus ENSKMAG00000018343
mastacembelus_armatus ENSMAMG00000000737
labrus_bergylta ENSLBEG00000027150
anabas_testudineus ENSATEG00000013628
monopterus_albus ENSMALG00000013036
takifugu_rubripes ENSTRUG00000015123
tetraodon_nigroviridis ENSTNIG00000016781
mola_mola ENSMMOG00000003077
gasterosteus_aculeatus ENSGACG00000017677
seriola_dumerili ENSSDUG00000016001
seriola_lalandi_dorsalis ENSSLDG00000015001
scophthalmus_maximus ENSSMAG00000018370
periophthalmus_magnuspinnatus ENSPMGG00000006552
esox_lucius ENSELUG00000005864
pygocentrus_nattereri ENSPNAG00000005517
astyanax_mexicanus ENSAMXG00000016244
ictalurus_punctatus ENSIPUG00000007780
danio_rerio ENSDARG00000104408
paramormyrops_kingsleyae ENSPKIG00000006862
astyanax_mexicanus ENSAMXG00000034746
pygocentrus_nattereri ENSPNAG00000029487
ictalurus_punctatus ENSIPUG00000020083
danio_rerio ENSDARG00000043271
paramormyrops_kingsleyae ENSPKIG00000008611
lepisosteus_oculatus ENSLOCG00000014959
