carlito_syrichta ENSTSYG00000032514
dasypus_novemcinctus ENSDNOG00000010421
prolemur_simus ENSPSMG00000018719
propithecus_coquereli ENSPCOG00000014380
microcebus_murinus ENSMICG00000045357
otolemur_garnettii ENSOGAG00000014345
castor_canadensis ENSCCNG00000004492
dipodomys_ordii ENSDORG00000029095
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030737
mus_spicilegus ENSMSIG00000025135
mus_musculus ENSMUSG00000030693
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029638
mus_pahari MGP_PahariEiJ_G0012866
rattus_norvegicus ENSRNOG00000030281
meriones_unguiculatus ENSMUGG00000007551
peromyscus_maniculatus_bairdii ENSPEMG00000016950
microtus_ochrogaster ENSMOCG00000008634
cricetulus_griseus_crigri ENSCGRG00000004796
cricetulus_griseus_chok1gshd ENSCGRG00001017896
cricetulus_griseus_crigri-picr ENSCGRG00015023106
mesocricetus_auratus ENSMAUG00000021531
nannospalax_galili ENSNGAG00000022744
jaculus_jaculus ENSJJAG00000000189
chinchilla_lanigera ENSCLAG00000001547
octodon_degus ENSODEG00000001404
cavia_porcellus ENSCPOG00000022082
heterocephalus_glaber_female ENSHGLG00000005784
heterocephalus_glaber_male ENSHGLG00100001752
fukomys_damarensis ENSFDAG00000015752
spermophilus_dauricus ENSSDAG00000010435
urocitellus_parryii ENSUPAG00010015980
marmota_marmota_marmota ENSMMMG00000004983
ictidomys_tridecemlineatus ENSSTOG00000024536
oryctolagus_cuniculus ENSOCUG00000025396
gorilla_gorilla ENSGGOG00000001427
homo_sapiens ENSG00000129451
pan_troglodytes ENSPTRG00000011367
pan_paniscus ENSPPAG00000038794
pongo_abelii ENSPPYG00000010306
nomascus_leucogenys ENSNLEG00000030119
macaca_nemestrina ENSMNEG00000030733
macaca_fascicularis ENSMFAG00000044030
chlorocebus_sabaeus ENSCSAG00000002046
cercocebus_atys ENSCATG00000043542
papio_anubis ENSPANG00000029764
mandrillus_leucophaeus ENSMLEG00000036574
theropithecus_gelada ENSTGEG00000003002
rhinopithecus_bieti ENSRBIG00000042974
rhinopithecus_roxellana ENSRROG00000044309
colobus_angolensis_palliatus ENSCANG00000043554
piliocolobus_tephrosceles ENSPTEG00000018167
cebus_capucinus ENSCCAG00000033838
saimiri_boliviensis_boliviensis ENSSBOG00000016370
callithrix_jacchus ENSCJAG00000046677
aotus_nancymaae ENSANAG00000004037
ursus_americanus ENSUAMG00000022072
ursus_maritimus ENSUMAG00000010181
ailuropoda_melanoleuca ENSAMEG00000014280
neovison_vison ENSNVIG00000021672
mustela_putorius_furo ENSMPUG00000001524
canis_lupus_dingo ENSCAFG00020019271
canis_lupus_familiaris ENSCAFG00000029529
vulpes_vulpes ENSVVUG00000011527
panthera_tigris_altaica ENSPTIG00000017859
panthera_pardus ENSPPRG00000024714
felis_catus ENSFCAG00000029733
bos_mutus ENSBMUG00000019439
bos_taurus ENSBTAG00000015129
bison_bison_bison ENSBBBG00000007922
capra_hircus ENSCHIG00000024879
ovis_aries ENSOARG00000014396
sus_scrofa ENSSSCG00000038523
tursiops_truncatus ENSTTRG00000000900
equus_asinus_asinus ENSEASG00005009769
equus_caballus ENSECAG00000032427
pteropus_vampyrus ENSPVAG00000010410
sorex_araneus ENSSARG00000002947
choloepus_hoffmanni ENSCHOG00000009851
procavia_capensis ENSPCAG00000001368
echinops_telfairi ENSETEG00000009963
notamacropus_eugenii ENSMEUG00000014123
notamacropus_eugenii ENSMEUG00000001048
phascolarctos_cinereus ENSPCIG00000031513
sarcophilus_harrisii ENSSHAG00000004448
ornithorhynchus_anatinus ENSOANG00000013715
