theropithecus_gelada ENSTGEG00000027741
macaca_mulatta ENSMMUG00000062269
piliocolobus_tephrosceles ENSPTEG00000002913
callithrix_jacchus ENSCJAG00000057572
mus_spicilegus ENSMSIG00000009760
bos_indicus ENSBIXG00005012896
bos_indicus ENSBIXG00000002470
bos_taurus ENSBTAG00000053986
bos_mutus ENSBMUG00000001502
ovis_aries ENSOARG00000015915
sus_scrofa ENSSSCG00000047326
canis_lupus ENSCAFG00000028877
canis_lupus ENSCAFG00020016435
vulpes_vulpes ENSVVUG00000028753
ornithorhynchus_anatinus ENSOANG00000010355
anolis_carolinensis ENSACAG00000021013
notechis_scutatus ENSNSUG00000017552
pelodiscus_sinensis ENSPSIG00000015756
