poecilia_reticulata ENSPREG00000017263
xiphophorus_couchianus ENSXCOG00000019514
oryzias_latipes ENSORLG00015014940
oryzias_melastigma ENSOMEG00000008935
stegastes_partitus ENSSPAG00000018809
acanthochromis_polyacanthus ENSAPOG00000015590
seriola_dumerili ENSSDUG00000007143
hippocampus_comes ENSHCOG00000014067
amphilophus_citrinellus ENSACIG00000007864
periophthalmus_magnuspinnatus ENSPMGG00000007779
mola_mola ENSMMOG00000016132
ictalurus_punctatus ENSIPUG00000000097
scleropages_formosus ENSSFOG00015019753
paramormyrops_kingsleyae ENSPKIG00000015801
astatotilapia_calliptera ENSACLG00000009641
neolamprologus_brichardi ENSNBRG00000017527
oryzias_latipes ENSORLG00020007920
hippocampus_comes ENSHCOG00000005751
ursus_americanus ENSUAMG00000009349
