scophthalmus_maximus ENSSMAG00000016608
cynoglossus_semilaevis ENSCSEG00000018156
xiphophorus_couchianus ENSXCOG00000013857
xiphophorus_maculatus ENSXMAG00000005923
poecilia_formosa ENSPFOG00000000277
poecilia_latipinna ENSPLAG00000002335
poecilia_mexicana ENSPMEG00000003352
poecilia_reticulata ENSPREG00000018686
gambusia_affinis ENSGAFG00000001842
fundulus_heteroclitus ENSFHEG00000010845
cyprinodon_variegatus ENSCVAG00000007174
kryptolebias_marmoratus ENSKMAG00000016576
oryzias_latipes_asm223469v1 ENSORLG00015010223
oryzias_latipes ENSORLG00020003441
oryzias_latipes ENSORLG00000001174
oryzias_melastigma ENSOMEG00000001644
astatotilapia_calliptera ENSACLG00000005915
maylandia_zebra ENSMZEG00005003624
pundamilia_nyererei ENSPNYG00000003856
haplochromis_burtoni ENSHBUG00000014775
neolamprologus_brichardi ENSNBRG00000018638
oreochromis_niloticus ENSONIG00000009140
amphilophus_citrinellus ENSACIG00000007372
amphiprion_percula ENSAPEG00000003555
amphiprion_ocellaris ENSAOCG00000004810
acanthochromis_polyacanthus ENSAPOG00000021698
stegastes_partitus ENSSPAG00000016216
monopterus_albus ENSMALG00000010681
mastacembelus_armatus ENSMAMG00000007877
anabas_testudineus ENSATEG00000004846
seriola_lalandi_dorsalis ENSSLDG00000017504
seriola_dumerili ENSSDUG00000021769
gasterosteus_aculeatus ENSGACG00000014625
labrus_bergylta ENSLBEG00000027962
mola_mola ENSMMOG00000007194
tetraodon_nigroviridis ENSTNIG00000004924
hippocampus_comes ENSHCOG00000008434
periophthalmus_magnuspinnatus ENSPMGG00000007812
gadus_morhua ENSGMOG00000005300
esox_lucius ENSELUG00000014254
astyanax_mexicanus ENSAMXG00000011627
pygocentrus_nattereri ENSPNAG00000025546
ictalurus_punctatus ENSIPUG00000012353
danio_rerio ENSDARG00000070603
paramormyrops_kingsleyae ENSPKIG00000009974
scleropages_formosus ENSSFOG00015018380
lepisosteus_oculatus ENSLOCG00000009586
phascolarctos_cinereus ENSPCIG00000022386
notamacropus_eugenii ENSMEUG00000007204
sarcophilus_harrisii ENSSHAG00000017617
monodelphis_domestica ENSMODG00000009501
pan_troglodytes ENSPTRG00000002974
pan_paniscus ENSPPAG00000043394
homo_sapiens ENSG00000165868
gorilla_gorilla ENSGGOG00000000981
pongo_abelii ENSPPYG00000002685
nomascus_leucogenys ENSNLEG00000031134
piliocolobus_tephrosceles ENSPTEG00000036566
colobus_angolensis_palliatus ENSCANG00000028322
rhinopithecus_bieti ENSRBIG00000041872
rhinopithecus_roxellana ENSRROG00000035984
macaca_fascicularis ENSMFAG00000034502
macaca_mulatta ENSMMUG00000010908
macaca_nemestrina ENSMNEG00000035966
papio_anubis ENSPANG00000020739
theropithecus_gelada ENSTGEG00000026388
mandrillus_leucophaeus ENSMLEG00000039129
cercocebus_atys ENSCATG00000014903
chlorocebus_sabaeus ENSCSAG00000004829
saimiri_boliviensis_boliviensis ENSSBOG00000024670
cebus_capucinus ENSCCAG00000024637
callithrix_jacchus ENSCJAG00000019440
aotus_nancymaae ENSANAG00000025973
carlito_syrichta ENSTSYG00000009429
propithecus_coquereli ENSPCOG00000020230
microcebus_murinus ENSMICG00000015608
prolemur_simus ENSPSMG00000018343
otolemur_garnettii ENSOGAG00000010167
heterocephalus_glaber_female ENSHGLG00000014400
heterocephalus_glaber_male ENSHGLG00100003980
fukomys_damarensis ENSFDAG00000017453
cavia_porcellus ENSCPOG00000003085
cavia_aperea ENSCAPG00000015419
chinchilla_lanigera ENSCLAG00000004245
octodon_degus ENSODEG00000017751
castor_canadensis ENSCCNG00000008587
mus_spicilegus ENSMSIG00000028425
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024029
mus_musculus ENSMUSG00000025092
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023108
mus_pahari MGP_PahariEiJ_G0014596
rattus_norvegicus ENSRNOG00000018019
meriones_unguiculatus ENSMUGG00000018124
cricetulus_griseus_crigri-picr ENSCGRG00015010211
cricetulus_griseus_crigri ENSCGRG00000012519
cricetulus_griseus_chok1gshd ENSCGRG00001000532
mesocricetus_auratus ENSMAUG00000003739
microtus_ochrogaster ENSMOCG00000000721
peromyscus_maniculatus_bairdii ENSPEMG00000002037
nannospalax_galili ENSNGAG00000010265
jaculus_jaculus ENSJJAG00000005467
spermophilus_dauricus ENSSDAG00000000277
marmota_marmota_marmota ENSMMMG00000018698
urocitellus_parryii ENSUPAG00010023480
ictidomys_tridecemlineatus ENSSTOG00000008905
dipodomys_ordii ENSDORG00000015665
oryctolagus_cuniculus ENSOCUG00000014117
ochotona_princeps ENSOPRG00000016973
tupaia_belangeri ENSTBEG00000013592
tursiops_truncatus ENSTTRG00000000372
sus_scrofa ENSSSCG00000036758
bos_mutus ENSBMUG00000026159
bos_taurus ENSBTAG00000013779
bison_bison_bison ENSBBBG00000001683
capra_hircus ENSCHIG00000002992
ovis_aries ENSOARG00000017464
vicugna_pacos ENSVPAG00000005519
sorex_araneus ENSSARG00000007972
erinaceus_europaeus ENSEEUG00000001920
myotis_lucifugus ENSMLUG00000008189
pteropus_vampyrus ENSPVAG00000009320
equus_caballus ENSECAG00000016231
equus_asinus_asinus ENSEASG00005014531
ursus_americanus ENSUAMG00000020219
ursus_maritimus ENSUMAG00000002794
ailuropoda_melanoleuca ENSAMEG00000014024
neovison_vison ENSNVIG00000004621
mustela_putorius_furo ENSMPUG00000003419
canis_lupus_dingo ENSCAFG00020013666
canis_lupus_familiaris ENSCAFG00000011876
vulpes_vulpes ENSVVUG00000010543
panthera_pardus ENSPPRG00000024873
panthera_tigris_altaica ENSPTIG00000008579
felis_catus ENSFCAG00000001517
