pundamilia_nyererei ENSPNYG00000013065
maylandia_zebra ENSMZEG00005001587
astatotilapia_calliptera ENSACLG00000006421
haplochromis_burtoni ENSHBUG00000007852
neolamprologus_brichardi ENSNBRG00000008539
amphilophus_citrinellus ENSACIG00000004901
amphiprion_ocellaris ENSAOCG00000001104
amphiprion_percula ENSAPEG00000022354
acanthochromis_polyacanthus ENSAPOG00000011276
stegastes_partitus ENSSPAG00000018559
seriola_dumerili ENSSDUG00000013230
seriola_lalandi_dorsalis ENSSLDG00000019232
scophthalmus_maximus ENSSMAG00000018319
cynoglossus_semilaevis ENSCSEG00000010243
anabas_testudineus ENSATEG00000012900
labrus_bergylta ENSLBEG00000000064
mola_mola ENSMMOG00000020743
takifugu_rubripes ENSTRUG00000020673
mastacembelus_armatus ENSMAMG00000018555
fundulus_heteroclitus ENSFHEG00000007143
periophthalmus_magnuspinnatus ENSPMGG00000004227
astyanax_mexicanus ENSAMXG00000036708
pygocentrus_nattereri ENSPNAG00000009367
danio_rerio ENSDARG00000098478
