labrus_bergylta ENSLBEG00000018558
takifugu_rubripes ENSTRUG00000019724
seriola_lalandi ENSSLDG00000000330
seriola_dumerili ENSSDUG00000010670
scophthalmus_maximus ENSSMAG00000000881
anabas_testudineus ENSATEG00000006617
pundamilia_nyererei ENSPNYG00000011164
maylandia_zebra ENSMZEG00005022349
haplochromis_burtoni ENSHBUG00000015783
astatotilapia_calliptera ENSACLG00000019997
neolamprologus_brichardi ENSNBRG00000019376
amphilophus_citrinellus ENSACIG00000000418
acanthochromis_polyacanthus ENSAPOG00000009156
stegastes_partitus ENSSPAG00000020817
poecilia_formosa ENSPFOG00000023797
poecilia_latipinna ENSPLAG00000017605
poecilia_mexicana ENSPMEG00000001155
poecilia_reticulata ENSPREG00000008028
gambusia_affinis ENSGAFG00000001006
xiphophorus_maculatus ENSXMAG00000003009
xiphophorus_couchianus ENSXCOG00000020221
fundulus_heteroclitus ENSFHEG00000002429
cyprinodon_variegatus ENSCVAG00000017026
kryptolebias_marmoratus ENSKMAG00000016780
oryzias_latipes ENSORLG00015019013
oryzias_latipes ENSORLG00000029492
oryzias_melastigma ENSOMEG00000023370
periophthalmus_magnuspinnatus ENSPMGG00000008470
pygocentrus_nattereri ENSPNAG00000011411
astyanax_mexicanus ENSAMXG00000037756
