seriola_dumerili ENSSDUG00000009061
seriola_lalandi_dorsalis ENSSLDG00000009742
scophthalmus_maximus ENSSMAG00000010877
mastacembelus_armatus ENSMAMG00000011666
monopterus_albus ENSMALG00000016368
anabas_testudineus ENSATEG00000015970
amphiprion_ocellaris ENSAOCG00000003914
amphiprion_percula ENSAPEG00000014505
acanthochromis_polyacanthus ENSAPOG00000000615
stegastes_partitus ENSSPAG00000016711
haplochromis_burtoni ENSHBUG00000018655
astatotilapia_calliptera ENSACLG00000019271
maylandia_zebra ENSMZEG00005005810
pundamilia_nyererei ENSPNYG00000009573
neolamprologus_brichardi ENSNBRG00000010742
oreochromis_niloticus ENSONIG00000002303
amphilophus_citrinellus ENSACIG00000020994
labrus_bergylta ENSLBEG00000002584
mola_mola ENSMMOG00000019815
gasterosteus_aculeatus ENSGACG00000005700
poecilia_mexicana ENSPMEG00000014603
poecilia_formosa ENSPFOG00000024013
poecilia_latipinna ENSPLAG00000007162
poecilia_reticulata ENSPREG00000005269
xiphophorus_maculatus ENSXMAG00000002965
xiphophorus_couchianus ENSXCOG00000020149
gambusia_affinis ENSGAFG00000015604
fundulus_heteroclitus ENSFHEG00000007803
cyprinodon_variegatus ENSCVAG00000007059
kryptolebias_marmoratus ENSKMAG00000003596
oryzias_latipes ENSORLG00000022267
oryzias_latipes ENSORLG00020019494
oryzias_latipes_asm223469v1 ENSORLG00015011394
oryzias_melastigma ENSOMEG00000009358
cynoglossus_semilaevis ENSCSEG00000016008
tetraodon_nigroviridis ENSTNIG00000016982
takifugu_rubripes ENSTRUG00000013140
periophthalmus_magnuspinnatus ENSPMGG00000005834
hippocampus_comes ENSHCOG00000005114
gadus_morhua ENSGMOG00000010477
esox_lucius ENSELUG00000002423
pygocentrus_nattereri ENSPNAG00000026733
astyanax_mexicanus ENSAMXG00000042549
ictalurus_punctatus ENSIPUG00000020456
danio_rerio ENSDARG00000006859
scleropages_formosus ENSSFOG00015021363
paramormyrops_kingsleyae ENSPKIG00000010673
lepisosteus_oculatus ENSLOCG00000005227
phascolarctos_cinereus ENSPCIG00000014146
notamacropus_eugenii ENSMEUG00000011297
monodelphis_domestica ENSMODG00000017074
sarcophilus_harrisii ENSSHAG00000010420
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026548
mus_spicilegus ENSMSIG00000031910
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027528
mus_musculus ENSMUSG00000078532
mus_pahari MGP_PahariEiJ_G0028880
rattus_norvegicus ENSRNOG00000011445
meriones_unguiculatus ENSMUGG00000001896
cricetulus_griseus_chok1gshd ENSCGRG00001009372
cricetulus_griseus_crigri-picr ENSCGRG00015011820
cricetulus_griseus_crigri ENSCGRG00000013760
mesocricetus_auratus ENSMAUG00000010811
peromyscus_maniculatus_bairdii ENSPEMG00000000116
microtus_ochrogaster ENSMOCG00000019951
nannospalax_galili ENSNGAG00000010072
jaculus_jaculus ENSJJAG00000024005
castor_canadensis ENSCCNG00000023227
ochotona_princeps ENSOPRG00000014426
ictidomys_tridecemlineatus ENSSTOG00000033908
spermophilus_dauricus ENSSDAG00000022245
urocitellus_parryii ENSUPAG00010019587
marmota_marmota_marmota ENSMMMG00000011409
dipodomys_ordii ENSDORG00000000481
heterocephalus_glaber_female ENSHGLG00000015964
heterocephalus_glaber_male ENSHGLG00100015015
fukomys_damarensis ENSFDAG00000008447
chinchilla_lanigera ENSCLAG00000007310
octodon_degus ENSODEG00000003633
cavia_aperea ENSCAPG00000017311
cavia_porcellus ENSCPOG00000005407
oryctolagus_cuniculus ENSOCUG00000004783
dasypus_novemcinctus ENSDNOG00000043368
rhinopithecus_roxellana ENSRROG00000038223
colobus_angolensis_palliatus ENSCANG00000018725
macaca_mulatta ENSMMUG00000019884
macaca_fascicularis ENSMFAG00000036574
chlorocebus_sabaeus ENSCSAG00000001030
mandrillus_leucophaeus ENSMLEG00000044395
nomascus_leucogenys ENSNLEG00000001297
pan_troglodytes ENSPTRG00000000454
pan_paniscus ENSPPAG00000022775
homo_sapiens ENSG00000084628
gorilla_gorilla ENSGGOG00000009189
pongo_abelii ENSPPYG00000001619
rhinopithecus_bieti ENSRBIG00000037899
piliocolobus_tephrosceles ENSPTEG00000026365
macaca_nemestrina ENSMNEG00000041535
cercocebus_atys ENSCATG00000033203
theropithecus_gelada ENSTGEG00000013226
papio_anubis ENSPANG00000006010
saimiri_boliviensis_boliviensis ENSSBOG00000000522
callithrix_jacchus ENSCJAG00000038268
cebus_capucinus ENSCCAG00000033899
aotus_nancymaae ENSANAG00000021249
propithecus_coquereli ENSPCOG00000025478
microcebus_murinus ENSMICG00000009329
prolemur_simus ENSPSMG00000001353
otolemur_garnettii ENSOGAG00000004537
carlito_syrichta ENSTSYG00000030800
canis_lupus_dingo ENSCAFG00020024820
mustela_putorius_furo ENSMPUG00000015453
panthera_pardus ENSPPRG00000001569
panthera_tigris_altaica ENSPTIG00000008164
felis_catus ENSFCAG00000045405
equus_asinus_asinus ENSEASG00005010817
