astyanax_mexicanus ENSAMXG00000031661
pygocentrus_nattereri ENSPNAG00000024811
ictalurus_punctatus ENSIPUG00000004417
amphiprion_ocellaris ENSAOCG00000015518
amphiprion_percula ENSAPEG00000020808
acanthochromis_polyacanthus ENSAPOG00000015871
stegastes_partitus ENSSPAG00000002680
xiphophorus_maculatus ENSXMAG00000026923
xiphophorus_couchianus ENSXCOG00000008269
poecilia_latipinna ENSPLAG00000004411
poecilia_formosa ENSPFOG00000022484
poecilia_mexicana ENSPMEG00000001597
gambusia_affinis ENSGAFG00000020411
cyprinodon_variegatus ENSCVAG00000015309
fundulus_heteroclitus ENSFHEG00000011920
oryzias_melastigma ENSOMEG00000007036
cynoglossus_semilaevis ENSCSEG00000005928
tetraodon_nigroviridis ENSTNIG00000002718
takifugu_rubripes ENSTRUG00000000903
mola_mola ENSMMOG00000011110
labrus_bergylta ENSLBEG00000018414
labrus_bergylta ENSLBEG00000013645
periophthalmus_magnuspinnatus ENSPMGG00000021395
seriola_dumerili ENSSDUG00000023070
seriola_lalandi_dorsalis ENSSLDG00000007345
scophthalmus_maximus ENSSMAG00000005401
scophthalmus_maximus ENSSMAG00000005392
monopterus_albus ENSMALG00000005125
mastacembelus_armatus ENSMAMG00000010813
maylandia_zebra ENSMZEG00005021065
pundamilia_nyererei ENSPNYG00000010660
astatotilapia_calliptera ENSACLG00000005495
neolamprologus_brichardi ENSNBRG00000023192
oreochromis_niloticus ENSONIG00000007496
amphilophus_citrinellus ENSACIG00000003870
hippocampus_comes ENSHCOG00000000287
hippocampus_comes ENSHCOG00000009116
gadus_morhua ENSGMOG00000017703
esox_lucius ENSELUG00000022333
paramormyrops_kingsleyae ENSPKIG00000022179
