cebus_capucinus ENSCCAG00000024411
panthera_tigris_altaica ENSPTIG00000016953
homo_sapiens ENSG00000160055
chlorocebus_sabaeus ENSCSAG00000001049
macaca_fascicularis ENSMFAG00000044797
macaca_nemestrina ENSMNEG00000028155
cercocebus_atys ENSCATG00000043685
mandrillus_leucophaeus ENSMLEG00000006753
gorilla_gorilla ENSGGOG00000044206
pongo_abelii ENSPPYG00000001599
nomascus_leucogenys ENSNLEG00000002417
callithrix_jacchus ENSCJAG00000006793
saimiri_boliviensis_boliviensis ENSSBOG00000001610
aotus_nancymaae ENSANAG00000031742
prolemur_simus ENSPSMG00000020178
microcebus_murinus ENSMICG00000017799
otolemur_garnettii ENSOGAG00000024493
carlito_syrichta ENSTSYG00000008662
cricetulus_griseus_chok1gshd ENSCGRG00001018991
cricetulus_griseus_crigri ENSCGRG00000008430
cricetulus_griseus_crigri-picr ENSCGRG00015009590
mesocricetus_auratus ENSMAUG00000020663
microtus_ochrogaster ENSMOCG00000017553
peromyscus_maniculatus_bairdii ENSPEMG00000018023
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027507
mus_musculus ENSMUSG00000028797
mus_spicilegus ENSMSIG00000001447
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026527
mus_pahari MGP_PahariEiJ_G0028859
rattus_norvegicus ENSRNOG00000049326
meriones_unguiculatus ENSMUGG00000003422
castor_canadensis ENSCCNG00000018561
nannospalax_galili ENSNGAG00000021033
dipodomys_ordii ENSDORG00000000199
urocitellus_parryii ENSUPAG00010005228
ictidomys_tridecemlineatus ENSSTOG00000012060
spermophilus_dauricus ENSSDAG00000012319
marmota_marmota_marmota ENSMMMG00000008984
heterocephalus_glaber_female ENSHGLG00000011652
heterocephalus_glaber_male ENSHGLG00100002495
fukomys_damarensis ENSFDAG00000015235
cavia_porcellus ENSCPOG00000011988
octodon_degus ENSODEG00000003631
chinchilla_lanigera ENSCLAG00000008333
jaculus_jaculus ENSJJAG00000010346
oryctolagus_cuniculus ENSOCUG00000007614
equus_caballus ENSECAG00000014363
equus_asinus_asinus ENSEASG00005010954
bos_taurus ENSBTAG00000009163
bos_mutus ENSBMUG00000008783
bison_bison_bison ENSBBBG00000002391
ovis_aries ENSOARG00000000281
capra_hircus ENSCHIG00000025548
sus_scrofa ENSSSCG00000037312
ursus_americanus ENSUAMG00000014280
ursus_maritimus ENSUMAG00000008427
ailuropoda_melanoleuca ENSAMEG00000007815
neovison_vison ENSNVIG00000024265
canis_lupus_familiaris ENSCAFG00000010699
canis_lupus_dingo ENSCAFG00020025349
vulpes_vulpes ENSVVUG00000015100
panthera_pardus ENSPPRG00000010798
felis_catus ENSFCAG00000027455
myotis_lucifugus ENSMLUG00000017488
propithecus_coquereli ENSPCOG00000023581
ochotona_princeps ENSOPRG00000000816
pteropus_vampyrus ENSPVAG00000013313
erinaceus_europaeus ENSEEUG00000002327
choloepus_hoffmanni ENSCHOG00000013548
piliocolobus_tephrosceles ENSPTEG00000024057
loxodonta_africana ENSLAFG00000017021
phascolarctos_cinereus ENSPCIG00000009041
monodelphis_domestica ENSMODG00000017483
ornithorhynchus_anatinus ENSOANG00000009739
dromaius_novaehollandiae ENSDNVG00000010099
nothoprocta_perdicaria ENSNPEG00000005424
apteryx_owenii ENSAOWG00000002166
numida_meleagris ENSNMEG00000007376
calidris_pygmaea ENSCPGG00000014558
junco_hyemalis ENSJHYG00000006987
zonotrichia_albicollis ENSZALG00000012201
ficedula_albicollis ENSFALG00000000614
parus_major ENSPMJG00000006090
cyanistes_caeruleus ENSCCEG00000018739
lepidothrix_coronata ENSLCOG00000008983
