astatotilapia_calliptera ENSACLG00000014042
maylandia_zebra ENSMZEG00005008723
haplochromis_burtoni ENSHBUG00000021347
pundamilia_nyererei ENSPNYG00000012716
neolamprologus_brichardi ENSNBRG00000007701
oreochromis_niloticus ENSONIG00000017251
amphilophus_citrinellus ENSACIG00000013787
stegastes_partitus ENSSPAG00000019388
stegastes_partitus ENSSPAG00000000296
fundulus_heteroclitus ENSFHEG00000019634
cyprinodon_variegatus ENSCVAG00000013434
poecilia_formosa ENSPFOG00000022941
poecilia_latipinna ENSPLAG00000008298
poecilia_reticulata ENSPREG00000003344
poecilia_mexicana ENSPMEG00000006214
gambusia_affinis ENSGAFG00000006186
xiphophorus_maculatus ENSXMAG00000021893
oryzias_latipes ENSORLG00000028417
oryzias_latipes ENSORLG00020021774
oryzias_latipes_asm223469v1 ENSORLG00015006561
oryzias_melastigma ENSOMEG00000003693
cynoglossus_semilaevis ENSCSEG00000015151
hippocampus_comes ENSHCOG00000008211
mola_mola ENSMMOG00000013593
labrus_bergylta ENSLBEG00000003308
labrus_bergylta ENSLBEG00000027687
kryptolebias_marmoratus ENSKMAG00000019914
mastacembelus_armatus ENSMAMG00000021669
monopterus_albus ENSMALG00000016230
anabas_testudineus ENSATEG00000012441
seriola_dumerili ENSSDUG00000020696
seriola_lalandi_dorsalis ENSSLDG00000017353
scophthalmus_maximus ENSSMAG00000006879
amphiprion_percula ENSAPEG00000000493
amphiprion_ocellaris ENSAOCG00000024748
takifugu_rubripes ENSTRUG00000021434
esox_lucius ENSELUG00000021174
pygocentrus_nattereri ENSPNAG00000014901
astyanax_mexicanus ENSAMXG00000041218
ictalurus_punctatus ENSIPUG00000020785
danio_rerio ENSDARG00000090747
paramormyrops_kingsleyae ENSPKIG00000004390
scleropages_formosus ENSSFOG00015002055
paramormyrops_kingsleyae ENSPKIG00000017660
scleropages_formosus ENSSFOG00015018254
periophthalmus_magnuspinnatus ENSPMGG00000019640
lepisosteus_oculatus ENSLOCG00000010282
notamacropus_eugenii ENSMEUG00000001781
phascolarctos_cinereus ENSPCIG00000021870
monodelphis_domestica ENSMODG00000014147
sarcophilus_harrisii ENSSHAG00000017570
dasypus_novemcinctus ENSDNOG00000039556
dasypus_novemcinctus ENSDNOG00000030685
dasypus_novemcinctus ENSDNOG00000023901
dasypus_novemcinctus ENSDNOG00000037481
dasypus_novemcinctus ENSDNOG00000048208
dasypus_novemcinctus ENSDNOG00000048713
dasypus_novemcinctus ENSDNOG00000033941
choloepus_hoffmanni ENSCHOG00000005627
loxodonta_africana ENSLAFG00000015697
procavia_capensis ENSPCAG00000008672
macaca_fascicularis ENSMFAG00000041163
macaca_nemestrina ENSMNEG00000041375
macaca_mulatta ENSMMUG00000042266
papio_anubis ENSPANG00000006159
theropithecus_gelada ENSTGEG00000020106
cercocebus_atys ENSCATG00000044895
mandrillus_leucophaeus ENSMLEG00000038327
chlorocebus_sabaeus ENSCSAG00000013652
colobus_angolensis_palliatus ENSCANG00000035717
piliocolobus_tephrosceles ENSPTEG00000026038
rhinopithecus_roxellana ENSRROG00000039514
rhinopithecus_bieti ENSRBIG00000032919
homo_sapiens ENSG00000113583
gorilla_gorilla ENSGGOG00000021947
pan_paniscus ENSPPAG00000041430
pan_troglodytes ENSPTRG00000017234
pongo_abelii ENSPPYG00000015780
nomascus_leucogenys ENSNLEG00000008019
pan_troglodytes ENSPTRG00000049422
gorilla_gorilla ENSGGOG00000009228
nomascus_leucogenys ENSNLEG00000035547
theropithecus_gelada ENSTGEG00000026080
mandrillus_leucophaeus ENSMLEG00000043658
chlorocebus_sabaeus ENSCSAG00000000158
macaca_mulatta ENSMMUG00000048196
piliocolobus_tephrosceles ENSPTEG00000024677
rhinopithecus_roxellana ENSRROG00000027987
aotus_nancymaae ENSANAG00000032709
aotus_nancymaae ENSANAG00000032151
cebus_capucinus ENSCCAG00000024033
saimiri_boliviensis_boliviensis ENSSBOG00000008071
callithrix_jacchus ENSCJAG00000013543
carlito_syrichta ENSTSYG00000033325
otolemur_garnettii ENSOGAG00000001273
otolemur_garnettii ENSOGAG00000030961
propithecus_coquereli ENSPCOG00000018490
microcebus_murinus ENSMICG00000047659
prolemur_simus ENSPSMG00000020399
tupaia_belangeri ENSTBEG00000002997
pteropus_vampyrus ENSPVAG00000012421
myotis_lucifugus ENSMLUG00000012463
ursus_americanus ENSUAMG00000006659
ursus_maritimus ENSUMAG00000017819
ailuropoda_melanoleuca ENSAMEG00000017789
canis_lupus_familiaris ENSCAFG00000029752
canis_lupus_dingo ENSCAFG00020001109
vulpes_vulpes ENSVVUG00000021413
neovison_vison ENSNVIG00000016948
mustela_putorius_furo ENSMPUG00000010282
