chelonoidis_abingdonii ENSCABG00000008895
chrysemys_picta_bellii ENSCPBG00000012381
pelodiscus_sinensis ENSPSIG00000015447
apteryx_rowi ENSARWG00000002257
apteryx_owenii ENSAOWG00000018397
apteryx_haastii ENSAHAG00000013385
dromaius_novaehollandiae ENSDNVG00000018486
nothoprocta_perdicaria ENSNPEG00000008418
anser_brachyrhynchus ENSABRG00000005662
anas_platyrhynchos_platyrhynchos ENSAPLG00000011182
gallus_gallus ENSGALG00000007090
coturnix_japonica ENSCJPG00005019521
meleagris_gallopavo ENSMGAG00000009366
numida_meleagris ENSNMEG00000014583
junco_hyemalis ENSJHYG00000018479
zonotrichia_albicollis ENSZALG00000006958
serinus_canaria ENSSCAG00000016764
taeniopygia_guttata ENSTGUG00000009169
lonchura_striata_domestica ENSLSDG00000009699
ficedula_albicollis ENSFALG00000008040
parus_major ENSPMJG00000003883
cyanistes_caeruleus ENSCCEG00000022246
lepidothrix_coronata ENSLCOG00000016531
manacus_vitellinus ENSMVIG00005018370
melopsittacus_undulatus ENSMUNG00000007677
calidris_pygmaea ENSCPGG00000016729
calidris_pugnax ENSCPUG00000009447
pogona_vitticeps ENSPVIG00000012776
anolis_carolinensis ENSACAG00000004193
notechis_scutatus ENSNSUG00000010695
salvator_merianae ENSSMRG00000021953
erinaceus_europaeus ENSEEUG00000012204
sorex_araneus ENSSARG00000005451
carlito_syrichta ENSTSYG00000035652
prolemur_simus ENSPSMG00000010767
microcebus_murinus ENSMICG00000006739
propithecus_coquereli ENSPCOG00000020726
otolemur_garnettii ENSOGAG00000008493
pan_troglodytes ENSPTRG00000045585
pan_paniscus ENSPPAG00000043340
gorilla_gorilla ENSGGOG00000014771
homo_sapiens ENSG00000120054
pongo_abelii ENSPPYG00000029420
nomascus_leucogenys ENSNLEG00000014719
colobus_angolensis_palliatus ENSCANG00000029761
piliocolobus_tephrosceles ENSPTEG00000028416
chlorocebus_sabaeus ENSCSAG00000005670
macaca_mulatta ENSMMUG00000018755
macaca_nemestrina ENSMNEG00000041677
macaca_fascicularis ENSMFAG00000007369
mandrillus_leucophaeus ENSMLEG00000038257
theropithecus_gelada ENSTGEG00000017828
papio_anubis ENSPANG00000021233
cercocebus_atys ENSCATG00000040918
rhinopithecus_bieti ENSRBIG00000043396
rhinopithecus_roxellana ENSRROG00000031375
cebus_capucinus ENSCCAG00000031716
saimiri_boliviensis_boliviensis ENSSBOG00000024485
callithrix_jacchus ENSCJAG00000017197
aotus_nancymaae ENSANAG00000025971
castor_canadensis ENSCCNG00000011008
dipodomys_ordii ENSDORG00000011960
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023909
mus_spicilegus ENSMSIG00000013970
mus_musculus ENSMUSG00000025196
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022988
mus_pahari MGP_PahariEiJ_G0014478
rattus_norvegicus ENSRNOG00000013439
meriones_unguiculatus ENSMUGG00000022338
peromyscus_maniculatus_bairdii ENSPEMG00000017111
