anas_platyrhynchos ENSAPLG00000002721
anser_brachyrhynchus ENSABRG00000014976
coturnix_japonica ENSCJPG00005013474
calidris_pygmaea ENSCPGG00000015873
calidris_pugnax ENSCPUG00000011263
gallus_gallus ENSGALG00000040453
numida_meleagris ENSNMEG00000013760
lonchura_striata ENSLSDG00000014810
taeniopygia_guttata ENSTGUG00000001675
serinus_canaria ENSSCAG00000008837
ficedula_albicollis ENSFALG00000009306
junco_hyemalis ENSJHYG00000004421
parus_major ENSPMJG00000007965
manacus_vitellinus ENSMVIG00005018675
melopsittacus_undulatus ENSMUNG00000011752
dromaius_novaehollandiae ENSDNVG00000005894
nothoprocta_perdicaria ENSNPEG00000003636
apteryx_owenii ENSAOWG00000008610
apteryx_rowi ENSARWG00000009567
apteryx_haastii ENSAHAG00000009331
crocodylus_porosus ENSCPRG00005002565
chelonoidis_abingdonii ENSCABG00000018965
gopherus_agassizii ENSGAGG00000000284
chrysemys_picta ENSCPBG00000007590
pogona_vitticeps ENSPVIG00000015892
anolis_carolinensis ENSACAG00000013148
notechis_scutatus ENSNSUG00000012098
salvator_merianae ENSSMRG00000019024
sphenodon_punctatus ENSSPUG00000015651
bos_indicus ENSBIXG00000026294
bos_indicus ENSBIXG00005005637
bos_taurus ENSBTAG00000001449
bos_mutus ENSBMUG00000015205
bison_bison ENSBBBG00000012282
ovis_aries ENSOARG00000018101
capra_hircus ENSCHIG00000013652
tursiops_truncatus ENSTTRG00000005574
vicugna_pacos ENSVPAG00000002455
ursus_maritimus ENSUMAG00000013276
ursus_americanus ENSUAMG00000005355
ailuropoda_melanoleuca ENSAMEG00000011005
mustela_putorius ENSMPUG00000008493
canis_lupus ENSCAFG00000005819
canis_lupus ENSCAFG00020001924
vulpes_vulpes ENSVVUG00000012374
panthera_tigris ENSPTIG00000011361
panthera_pardus ENSPPRG00000023984
felis_catus ENSFCAG00000035180
equus_asinus ENSEASG00005017485
pteropus_vampyrus ENSPVAG00000009698
myotis_lucifugus ENSMLUG00000022959
castor_canadensis ENSCCNG00000015437
dipodomys_ordii ENSDORG00000026790
spermophilus_dauricus ENSSDAG00000015609
urocitellus_parryii ENSUPAG00010007542
ictidomys_tridecemlineatus ENSSTOG00000024229
cricetulus_griseus ENSCGRG00000007079
cricetulus_griseus ENSCGRG00015003354
cricetulus_griseus ENSCGRG00001005557
mesocricetus_auratus ENSMAUG00000012789
microtus_ochrogaster ENSMOCG00000008156
peromyscus_maniculatus ENSPEMG00000000489
mus_musculus ENSMUSG00000006050
mus_spicilegus ENSMSIG00000031651
rattus_norvegicus ENSRNOG00000018089
nannospalax_galili ENSNGAG00000017765
jaculus_jaculus ENSJJAG00000014326
cavia_porcellus ENSCPOG00000020210
cavia_aperea ENSCAPG00000013096
octodon_degus ENSODEG00000003997
chinchilla_lanigera ENSCLAG00000003359
heterocephalus_glaber ENSHGLG00000010259
heterocephalus_glaber ENSHGLG00100006596
fukomys_damarensis ENSFDAG00000001810
oryctolagus_cuniculus ENSOCUG00000021569
oryctolagus_cuniculus ENSOCUG00000038529
ochotona_princeps ENSOPRG00000018381
prolemur_simus ENSPSMG00000019602
propithecus_coquereli ENSPCOG00000010221
microcebus_murinus ENSMICG00000044059
otolemur_garnettii ENSOGAG00000025549
pan_troglodytes ENSPTRG00000017314
pan_paniscus ENSPPAG00000032469
homo_sapiens ENSG00000213523
gorilla_gorilla ENSGGOG00000042935
pongo_abelii ENSPPYG00000015855
nomascus_leucogenys ENSNLEG00000034424
macaca_nemestrina ENSMNEG00000029401
macaca_fascicularis ENSMFAG00000007347
theropithecus_gelada ENSTGEG00000025397
papio_anubis ENSPANG00000008615
cercocebus_atys ENSCATG00000044295
mandrillus_leucophaeus ENSMLEG00000036807
chlorocebus_sabaeus ENSCSAG00000012824
rhinopithecus_bieti ENSRBIG00000035226
rhinopithecus_roxellana ENSRROG00000011630
piliocolobus_tephrosceles ENSPTEG00000029616
colobus_angolensis ENSCANG00000036375
cebus_capucinus ENSCCAG00000029225
saimiri_boliviensis ENSSBOG00000011756
callithrix_jacchus ENSCJAG00000016613
aotus_nancymaae ENSANAG00000020391
carlito_syrichta ENSTSYG00000032938
loxodonta_africana ENSLAFG00000020802
procavia_capensis ENSPCAG00000016361
choloepus_hoffmanni ENSCHOG00000011385
dasypus_novemcinctus ENSDNOG00000045277
vombatus_ursinus ENSVURG00010017436
phascolarctos_cinereus ENSPCIG00000017474
notamacropus_eugenii ENSMEUG00000013640
sarcophilus_harrisii ENSSHAG00000016297
ornithorhynchus_anatinus ENSOANG00000029076
ornithorhynchus_anatinus ENSOANG00000029111
xenopus_tropicalis ENSXETG00000005364
latimeria_chalumnae ENSLACG00000007697
callorhinchus_milii ENSCMIG00000001460
clupea_harengus ENSCHAG00000008355
denticeps_clupeoides ENSDCDG00000035683
astyanax_mexicanus ENSAMXG00005013648
astyanax_mexicanus ENSAMXG00000032750
