seriola_dumerili ENSSDUG00000006008
seriola_lalandi_dorsalis ENSSLDG00000013863
scophthalmus_maximus ENSSMAG00000000052
anabas_testudineus ENSATEG00000011152
mastacembelus_armatus ENSMAMG00000022968
labrus_bergylta ENSLBEG00000016469
cynoglossus_semilaevis ENSCSEG00000014210
poecilia_mexicana ENSPMEG00000006601
poecilia_formosa ENSPFOG00000007826
poecilia_reticulata ENSPREG00000022368
xiphophorus_maculatus ENSXMAG00000027322
gambusia_affinis ENSGAFG00000000081
fundulus_heteroclitus ENSFHEG00000011643
cyprinodon_variegatus ENSCVAG00000019753
kryptolebias_marmoratus ENSKMAG00000004089
oryzias_latipes ENSORLG00000027424
oryzias_latipes ENSORLG00020005103
oryzias_latipes_asm223469v1 ENSORLG00015008731
oryzias_melastigma ENSOMEG00000000995
amphiprion_percula ENSAPEG00000008497
amphiprion_ocellaris ENSAOCG00000019048
maylandia_zebra ENSMZEG00005012646
astatotilapia_calliptera ENSACLG00000005386
haplochromis_burtoni ENSHBUG00000023497
