pundamilia_nyererei ENSPNYG00000011650
haplochromis_burtoni ENSHBUG00000022634
maylandia_zebra ENSMZEG00005002543
poecilia_latipinna ENSPLAG00000022771
stegastes_partitus ENSSPAG00000023144
stegastes_partitus ENSSPAG00000002756
stegastes_partitus ENSSPAG00000007971
stegastes_partitus ENSSPAG00000003277
scophthalmus_maximus ENSSMAG00000017384
seriola_lalandi_dorsalis ENSSLDG00000000906
monopterus_albus ENSMALG00000012436
esox_lucius ENSELUG00000011159
ictalurus_punctatus ENSIPUG00000001646
astyanax_mexicanus ENSAMXG00000008001
ciona_intestinalis ENSCING00000022752
