cyprinodon_variegatus ENSCVAG00000003110
poecilia_reticulata ENSPREG00000007711
oryzias_latipes ENSORLG00015013201
haplochromis_burtoni ENSHBUG00000016301
amphilophus_citrinellus ENSACIG00000014449
stegastes_partitus ENSSPAG00000001340
astyanax_mexicanus ENSAMXG00000031658
gopherus_agassizii ENSGAGG00000003993
cyanistes_caeruleus ENSCCEG00000019411
notechis_scutatus ENSNSUG00000003136
petromyzon_marinus ENSPMAG00000003001
eptatretus_burgeri ENSEBUG00000002296
poecilia_mexicana ENSPMEG00000018831
poecilia_latipinna ENSPLAG00000020198
kryptolebias_marmoratus ENSKMAG00000018405
mastacembelus_armatus ENSMAMG00000004860
cottoperca_gobio ENSCGOG00000020105
petromyzon_marinus ENSPMAG00000004111
