nothoprocta_perdicaria ENSNPEG00000003799
dromaius_novaehollandiae ENSDNVG00000018174
dromaius_novaehollandiae ENSDNVG00000018184
apteryx_haastii ENSAHAG00000010140
apteryx_owenii ENSAOWG00000010930
apteryx_rowi ENSARWG00000012864
gallus_gallus ENSGALG00000003883
coturnix_japonica ENSCJPG00005012694
meleagris_gallopavo ENSMGAG00000004791
numida_meleagris ENSNMEG00000020173
anser_brachyrhynchus ENSABRG00000015200
anas_platyrhynchos_platyrhynchos ENSAPLG00000006723
calidris_pugnax ENSCPUG00000015811
calidris_pygmaea ENSCPGG00000000209
cyanistes_caeruleus ENSCCEG00000020344
parus_major ENSPMJG00000015938
ficedula_albicollis ENSFALG00000012534
taeniopygia_guttata ENSTGUG00000005555
taeniopygia_guttata ENSTGUG00000016328
lonchura_striata_domestica ENSLSDG00000000709
serinus_canaria ENSSCAG00000016501
junco_hyemalis ENSJHYG00000015707
zonotrichia_albicollis ENSZALG00000000029
manacus_vitellinus ENSMVIG00005015329
lepidothrix_coronata ENSLCOG00000001346
melopsittacus_undulatus ENSMUNG00000000255
crocodylus_porosus ENSCPRG00005008808
chrysemys_picta_bellii ENSCPBG00000010954
chelonoidis_abingdonii ENSCABG00000003535
pelodiscus_sinensis ENSPSIG00000016934
sphenodon_punctatus ENSSPUG00000019108
phascolarctos_cinereus ENSPCIG00000027284
notamacropus_eugenii ENSMEUG00000000568
sarcophilus_harrisii ENSSHAG00000016702
monodelphis_domestica ENSMODG00000011784
pan_troglodytes ENSPTRG00000006858
pan_paniscus ENSPPAG00000029044
homo_sapiens ENSG00000166912
gorilla_gorilla ENSGGOG00000001943
pongo_abelii ENSPPYG00000006289
nomascus_leucogenys ENSNLEG00000007537
colobus_angolensis_palliatus ENSCANG00000011272
piliocolobus_tephrosceles ENSPTEG00000012325
macaca_nemestrina ENSMNEG00000035201
macaca_mulatta ENSMMUG00000009428
macaca_fascicularis ENSMFAG00000038584
theropithecus_gelada ENSTGEG00000022541
chlorocebus_sabaeus ENSCSAG00000006762
cercocebus_atys ENSCATG00000027357
mandrillus_leucophaeus ENSMLEG00000034200
papio_anubis ENSPANG00000020027
rhinopithecus_roxellana ENSRROG00000043303
rhinopithecus_bieti ENSRBIG00000038711
cebus_capucinus ENSCCAG00000034895
saimiri_boliviensis_boliviensis ENSSBOG00000033433
callithrix_jacchus ENSCJAG00000017528
aotus_nancymaae ENSANAG00000021817
carlito_syrichta ENSTSYG00000007753
propithecus_coquereli ENSPCOG00000009965
microcebus_murinus ENSMICG00000012591
prolemur_simus ENSPSMG00000006559
otolemur_garnettii ENSOGAG00000016373
octodon_degus ENSODEG00000013732
octodon_degus ENSODEG00000000299
chinchilla_lanigera ENSCLAG00000011407
cavia_porcellus ENSCPOG00000013322
cavia_aperea ENSCAPG00000013929
heterocephalus_glaber_female ENSHGLG00000008430
heterocephalus_glaber_male ENSHGLG00100016610
fukomys_damarensis ENSFDAG00000021153
urocitellus_parryii ENSUPAG00010008530
ictidomys_tridecemlineatus ENSSTOG00000008851
