rattus_norvegicus ENSRNOG00000045985
mus_spicilegus ENSMSIG00000031572
mus_spicilegus ENSMSIG00000000239
cricetulus_griseus_crigri-picr ENSCGRG00015025122
urocitellus_parryii ENSUPAG00010000411
castor_canadensis ENSCCNG00000009721
canis_lupus_dingo ENSCAFG00020009872
vulpes_vulpes ENSVVUG00000000291
numida_meleagris ENSNMEG00000016367
anser_brachyrhynchus ENSABRG00000011165
parus_major ENSPMJG00000015258
lepidothrix_coronata ENSLCOG00000012621
junco_hyemalis ENSJHYG00000007955
calidris_pygmaea ENSCPGG00000000246
nothoprocta_perdicaria ENSNPEG00000009951
sphenodon_punctatus ENSSPUG00000004604
salvator_merianae ENSSMRG00000023354
paramormyrops_kingsleyae ENSPKIG00000007095
