mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021276
mus_spicilegus ENSMSIG00000011322
mus_musculus ENSMUSG00000022490
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020383
mus_pahari MGP_PahariEiJ_G0020382
rattus_norvegicus ENSRNOG00000036827
meriones_unguiculatus ENSMUGG00000007495
cricetulus_griseus_crigri ENSCGRG00000009811
cricetulus_griseus_chok1gshd ENSCGRG00001013456
cricetulus_griseus_crigri-picr ENSCGRG00015028701
mesocricetus_auratus ENSMAUG00000018584
microtus_ochrogaster ENSMOCG00000002557
peromyscus_maniculatus_bairdii ENSPEMG00000000773
nannospalax_galili ENSNGAG00000023027
jaculus_jaculus ENSJJAG00000013909
jaculus_jaculus ENSJJAG00000022930
dipodomys_ordii ENSDORG00000002128
cavia_aperea ENSCAPG00000016016
cavia_porcellus ENSCPOG00000015100
octodon_degus ENSODEG00000013950
chinchilla_lanigera ENSCLAG00000008320
heterocephalus_glaber_female ENSHGLG00000003378
heterocephalus_glaber_male ENSHGLG00100008546
fukomys_damarensis ENSFDAG00000015199
marmota_marmota_marmota ENSMMMG00000003982
spermophilus_dauricus ENSSDAG00000019364
urocitellus_parryii ENSUPAG00010020311
ictidomys_tridecemlineatus ENSSTOG00000008155
oryctolagus_cuniculus ENSOCUG00000013555
ochotona_princeps ENSOPRG00000017283
pan_troglodytes ENSPTRG00000005044
pan_paniscus ENSPPAG00000030568
homo_sapiens ENSG00000135447
gorilla_gorilla ENSGGOG00000008380
pongo_abelii ENSPPYG00000004608
nomascus_leucogenys ENSNLEG00000017625
rhinopithecus_bieti ENSRBIG00000041637
rhinopithecus_roxellana ENSRROG00000039028
piliocolobus_tephrosceles ENSPTEG00000035039
colobus_angolensis_palliatus ENSCANG00000026340
macaca_mulatta ENSMMUG00000000113
macaca_nemestrina ENSMNEG00000019110
macaca_fascicularis ENSMFAG00000037982
mandrillus_leucophaeus ENSMLEG00000042421
cercocebus_atys ENSCATG00000031677
papio_anubis ENSPANG00000002382
theropithecus_gelada ENSTGEG00000010940
chlorocebus_sabaeus ENSCSAG00000005385
callithrix_jacchus ENSCJAG00000040329
callithrix_jacchus ENSCJAG00000044762
saimiri_boliviensis_boliviensis ENSSBOG00000031688
cebus_capucinus ENSCCAG00000027579
aotus_nancymaae ENSANAG00000036632
carlito_syrichta ENSTSYG00000036349
microcebus_murinus ENSMICG00000008492
propithecus_coquereli ENSPCOG00000024719
prolemur_simus ENSPSMG00000016640
otolemur_garnettii ENSOGAG00000017231
tupaia_belangeri ENSTBEG00000001193
ovis_aries ENSOARG00000016096
capra_hircus ENSCHIG00000013673
bos_taurus ENSBTAG00000010907
bos_mutus ENSBMUG00000020621
bison_bison_bison ENSBBBG00000018403
sus_scrofa ENSSSCG00000000298
tursiops_truncatus ENSTTRG00000004436
erinaceus_europaeus ENSEEUG00000015965
panthera_tigris_altaica ENSPTIG00000005620
panthera_pardus ENSPPRG00000003234
felis_catus ENSFCAG00000010159
ursus_americanus ENSUAMG00000009706
ursus_maritimus ENSUMAG00000011296
ailuropoda_melanoleuca ENSAMEG00000001096
canis_lupus_dingo ENSCAFG00020018449
canis_lupus_familiaris ENSCAFG00000029756
vulpes_vulpes ENSVVUG00000023665
mustela_putorius_furo ENSMPUG00000005566
neovison_vison ENSNVIG00000003014
pteropus_vampyrus ENSPVAG00000000337
myotis_lucifugus ENSMLUG00000012998
equus_asinus_asinus ENSEASG00005010278
equus_caballus ENSECAG00000007612
loxodonta_africana ENSLAFG00000009233
procavia_capensis ENSPCAG00000009547
castor_canadensis ENSCCNG00000026434
dasypus_novemcinctus ENSDNOG00000025312
phascolarctos_cinereus ENSPCIG00000007144
notamacropus_eugenii ENSMEUG00000004855
sarcophilus_harrisii ENSSHAG00000012489
ornithorhynchus_anatinus ENSOANG00000021894
chrysemys_picta_bellii ENSCPBG00000010088
gopherus_agassizii ENSGAGG00000004070
pelodiscus_sinensis ENSPSIG00000011665
apteryx_owenii ENSAOWG00000003469
apteryx_rowi ENSARWG00000018148
apteryx_haastii ENSAHAG00000017341
anas_platyrhynchos_platyrhynchos ENSAPLG00000030519
anolis_carolinensis ENSACAG00000028274
pogona_vitticeps ENSPVIG00000024322
salvator_merianae ENSSMRG00000001667
sphenodon_punctatus ENSSPUG00000009916
notechis_scutatus ENSNSUG00000001012
chelonoidis_abingdonii ENSCABG00000010456
anser_brachyrhynchus ENSABRG00000005553
junco_hyemalis ENSJHYG00000015877
gallus_gallus ENSGALG00000051279
nothoprocta_perdicaria ENSNPEG00000012559
apteryx_haastii ENSAHAG00000017343
lonchura_striata_domestica ENSLSDG00000001420
calidris_pygmaea ENSCPGG00000002336
xenopus_tropicalis ENSXETG00000004297
hippocampus_comes ENSHCOG00000001271
cynoglossus_semilaevis ENSCSEG00000010379
pundamilia_nyererei ENSPNYG00000014673
mastacembelus_armatus ENSMAMG00000013964
takifugu_rubripes ENSTRUG00000009292
