gasterosteus_aculeatus ENSGACG00000014424
labrus_bergylta ENSLBEG00000025891
mola_mola ENSMMOG00000006339
amphiprion_ocellaris ENSAOCG00000012699
amphiprion_percula ENSAPEG00000005840
acanthochromis_polyacanthus ENSAPOG00000021833
stegastes_partitus ENSSPAG00000010159
oryzias_latipes ENSORLG00000027711
oryzias_latipes_asm223469v1 ENSORLG00015011523
hippocampus_comes ENSHCOG00000006307
mastacembelus_armatus ENSMAMG00000021932
monopterus_albus ENSMALG00000016553
anabas_testudineus ENSATEG00000019564
scophthalmus_maximus ENSSMAG00000012237
cynoglossus_semilaevis ENSCSEG00000002333
seriola_dumerili ENSSDUG00000004441
