tetraodon_nigroviridis ENSTNIG00000008884
takifugu_rubripes ENSTRUG00000004975
mola_mola ENSMMOG00000005286
gasterosteus_aculeatus ENSGACG00000002367
labrus_bergylta ENSLBEG00000025848
mastacembelus_armatus ENSMAMG00000012445
anabas_testudineus ENSATEG00000010800
amphiprion_ocellaris ENSAOCG00000012824
amphiprion_percula ENSAPEG00000006223
acanthochromis_polyacanthus ENSAPOG00000006547
stegastes_partitus ENSSPAG00000009630
cyprinodon_variegatus ENSCVAG00000000640
cyprinodon_variegatus ENSCVAG00000008453
cyprinodon_variegatus ENSCVAG00000000844
fundulus_heteroclitus ENSFHEG00000007368
cyprinodon_variegatus ENSCVAG00000000784
poecilia_mexicana ENSPMEG00000022095
poecilia_formosa ENSPFOG00000016796
poecilia_latipinna ENSPLAG00000023132
poecilia_reticulata ENSPREG00000019138
xiphophorus_couchianus ENSXCOG00000014704
xiphophorus_maculatus ENSXMAG00000026241
gambusia_affinis ENSGAFG00000009813
xiphophorus_maculatus ENSXMAG00000007373
kryptolebias_marmoratus ENSKMAG00000019098
oryzias_latipes ENSORLG00000018071
oryzias_latipes ENSORLG00020013508
oryzias_latipes_asm223469v1 ENSORLG00015009377
oryzias_melastigma ENSOMEG00000009798
pundamilia_nyererei ENSPNYG00000001450
oreochromis_niloticus ENSONIG00000004511
maylandia_zebra ENSMZEG00005025677
neolamprologus_brichardi ENSNBRG00000015727
amphilophus_citrinellus ENSACIG00000003901
haplochromis_burtoni ENSHBUG00000005273
neolamprologus_brichardi ENSNBRG00000000110
amphilophus_citrinellus ENSACIG00000004359
maylandia_zebra ENSMZEG00005016205
astatotilapia_calliptera ENSACLG00000005468
haplochromis_burtoni ENSHBUG00000005323
scophthalmus_maximus ENSSMAG00000003906
cynoglossus_semilaevis ENSCSEG00000018017
seriola_dumerili ENSSDUG00000009315
seriola_lalandi_dorsalis ENSSLDG00000020967
pundamilia_nyererei ENSPNYG00000015476
astatotilapia_calliptera ENSACLG00000014836
maylandia_zebra ENSMZEG00005019142
astatotilapia_calliptera ENSACLG00000010145
haplochromis_burtoni ENSHBUG00000007570
acanthochromis_polyacanthus ENSAPOG00000009228
labrus_bergylta ENSLBEG00000011962
labrus_bergylta ENSLBEG00000012770
acanthochromis_polyacanthus ENSAPOG00000001260
gadus_morhua ENSGMOG00000008517
esox_lucius ENSELUG00000009784
pygocentrus_nattereri ENSPNAG00000028258
astyanax_mexicanus ENSAMXG00000012659
pygocentrus_nattereri ENSPNAG00000028156
astyanax_mexicanus ENSAMXG00000035670
ictalurus_punctatus ENSIPUG00000003888
ictalurus_punctatus ENSIPUG00000024552
danio_rerio ENSDARG00000006848
scleropages_formosus ENSSFOG00015022840
lepisosteus_oculatus ENSLOCG00000003405
amphilophus_citrinellus ENSACIG00000020240
stegastes_partitus ENSSPAG00000015951
periophthalmus_magnuspinnatus ENSPMGG00000008402
astatotilapia_calliptera ENSACLG00000009864
esox_lucius ENSELUG00000007528
chinchilla_lanigera ENSCLAG00000009939
octodon_degus ENSODEG00000010249
cavia_aperea ENSCAPG00000009792
cavia_porcellus ENSCPOG00000022546
heterocephalus_glaber_male ENSHGLG00100003575
